cve_periodo,cve_institucion,cve_estado,cve_TEC,dat_id_credito_met_cnbv,dat_rfc,dat_responsabilidad_total
201611,40014,14,2,1997,1202,3505879154
201611,40154,24,1,6,4,10927691
201611,5,3,1,3204,2023,1045519256
201611,5,2,2,5214,2308,4936171262
201611,40113,32,2,25,16,66097030
201611,40012,21,1,8469,6222,2488465888
201611,40014,9,5,51,10,1568665238
201611,40037,25,1,1,1,9962151
201611,40012,13,3,29,12,44711509
201611,40030,17,2,216,38,183982536
201611,40037,21,5,2,1,1963616081
201611,40102,31,4,1,1,26220465
201611,40021,23,1,786,361,125734143
201611,40030,22,3,58,15,172749972
201611,40014,10,4,100,17,640184297
201611,40112,30,1,9,1,5021709
201611,40012,24,1,3231,2447,877989778
201611,5,31,2,3094,1325,3276502288
201611,40072,19,3,386,194,952041494
201611,40044,28,3,7,5,69368083
201611,40145,2,2,3,3,29127918
201611,40133,5,4,5,1,123663538
201611,40072,21,1,591,483,387092882
201611,40145,3,1,1,1,4601351
201611,40147,1,1,7,4,49923569
201611,40102,25,2,1,1,19630679
201611,40072,18,4,6,4,3506706
201611,5,32,3,218,34,362583655
201611,40058,30,4,3,2,105145667
201611,40138,11,1,4,3,59883729
201611,40113,11,2,20,15,67615965
201611,40145,22,1,1,1,1100384
201611,40108,11,3,1,1,9440632
201611,40058,20,1,1,1,149922
201611,5,20,2,2255,1269,1426190279
201611,40030,17,3,8,3,43562319
201611,40058,26,1,234,181,187704771
201611,40145,19,1,35,27,147299995
201611,40059,19,3,3,3,18059100
201611,40002,5,4,507,25,2046173010
201611,40062,2,2,46,29,44140678
201611,40058,23,4,6,4,212408849
201611,40058,25,2,285,159,539513856
201611,40112,6,4,1,1,100607573
201611,40131,30,4,1,1,12852
201611,40058,20,2,4,3,11713270
201611,40002,5,3,58,38,302956946
201611,40058,19,3,394,192,1571413401
201611,40021,15,2,1162,541,560521560
201611,40154,29,2,1,1,12240154
201611,40002,4,4,4,3,59275685
201611,40002,999,2,3,3,10879460
201611,40132,29,4,3,1,77792681
201611,40062,9,2,630,257,436125248
201611,40062,10,1,12,11,3680766
201611,40062,4,4,11,2,102728535
201611,40036,11,1,463,422,39378798
201611,40021,7,4,2,2,50412
201611,40072,21,3,54,37,143406787
201611,40058,9,1,996,671,1222424055
201611,40072,23,1,431,360,106742257
201611,40150,27,2,7,4,29910736
201611,40037,15,1,3,2,2758045
201611,40014,999,4,16,4,2394998887
201611,40062,17,2,69,23,33790294
201611,40108,21,4,1,1,500736875
201611,40147,2,1,20,12,36753410
201611,40072,22,2,529,353,359447997
201611,5,15,2,16894,7388,14644648537
201611,40002,5,2,937,771,602656404
201611,40014,10,3,33,16,92878239
201611,40044,15,4,86,51,5760700578
201611,40030,14,4,560,84,6290088160
201611,40002,29,2,131,114,74259634
