cve_periodo,cve_institucion,sector,plazo_venc,plazo,tasa,cve_tipo_moneda
201612,040014,23611,76.72,78.39,8.57,0
201612,040021,11,22.73,28.58,7.98,0
201512,040014,19,7.59,8.54,8.88,0
201512,040002,7,64.48,79.05,7.1,0
201612,040021,3,26.09,32.32,9.23,0
201612,040036,4,51.03,64.54,7.47,0
201512,040014,22,43.71,51.15,6.3,0
201512,040014,8,31.71,39.64,6.42,0
201612,040072,23611,28.44,40.61,8.85,0
201512,040014,5,54.39,62.33,7.08,0
201612,040021,20,18.97,26.4,9.2,0
201512,040012,14,37.83,48.41,4.77,0
201512,040012,8,24.98,31.97,6.09,0
201612,040072,22,57.27,65.19,8.32,0
201612,040002,1,25.36,33.44,7.7,0
201512,040044,1,41.39,57.27,5.79,0
201612,040002,23611,19.27,51.1,8.37,0
201512,040012,11,27.99,35.63,6.29,0
201512,040012,17,167,194,6.57,0
201512,040036,23,20.2,32.72,7.85,0
201512,040002,8,19.83,26.67,5.62,0
201612,040036,23611,37.57,63.48,9.56,0
201512,040044,12,27.76,70.86,5.53,0
201612,040021,15,29.94,38.43,9.34,0
201612,040036,16,15.58,24.78,11.03,0
201512,040012,12,69.65,83.37,5.56,0
201612,040014,6,72.77,83.07,9.94,0
201612,040072,1,29.3,41.68,9.51,0
201512,040036,16,47.83,79.52,8.93,0
201512,040012,15,56.48,72.63,7.63,0
201612,040014,3,23.87,31.72,10.01,0
201512,040036,10,82.79,107.82,5.06,0
201612,040036,5999,184.16,219.8,7.79,0
201512,040012,4,21.7,34.75,5.96,0
201612,040012,2,56.92,97.13,7.65,0
201512,040014,9,4.28,5.9,4.37,0
201512,040014,15,38.97,48.31,8.09,0
201612,040012,10,73.42,98.09,8.76,0
201512,040036,19,41,48,19,0
201612,040072,8,20.31,29.07,9.58,0
201512,040072,3,30.38,39.48,7.89,0
201612,040072,11,31.2,44.56,10.04,0
201512,040002,21,15.27,25.78,5.65,0
201512,040014,13,15.33,18.86,8.11,0
201512,040036,21,18.72,24.31,7.1,0
201512,040021,5999,39.21,57.86,6.85,0
201612,040072,13,29.08,38.91,13.5,0
201512,040044,16,36.23,54.04,6.2,0
201612,040036,9,62.63,83.51,8.89,0
201512,040012,2,47,76.66,6.22,0
201512,040044,13,35,60,7.7,0
201612,040072,16,60.35,75.45,9.45,0
201612,040014,2,29.09,38.54,12.4,0
201612,040036,12,86.12,90.4,9.51,0
201512,040072,18,25.81,38.84,11.08,0
201612,040072,2,28.19,40.63,13.07,0
201512,040021,9,16.24,25.83,4.36,0
201612,040012,3,24.27,32.18,9.51,0
201512,040021,2,113.42,118.33,10.67,0
