cve_institucion,cve_periodo,cve_concepto,dato
040012,201601,4,2.266
040012,201601,6,22
040012,201601,7,46649089835
040012,201602,1,73177
040012,201602,2,4369
040012,201602,3,6.7133
040012,201602,4,2.5719
040012,201602,6,21
040012,201602,7,45270436128
040012,201603,1,73803
040012,201603,2,5028
040012,201603,3,6.747
040012,201603,4,2.7786
040012,201603,6,17
040012,201603,7,47441811890
040012,201604,1,73451
040012,201604,2,4263
040012,201604,3,6.7359
040012,201604,4,2.7538
040012,201604,6,17
040012,201604,7,42394297768
040012,201605,1,78595
040012,201605,2,4888
040012,201605,3,6.9287
040012,201605,4,2.5894
040012,201605,6,18
040012,201605,7,46304169633
040012,201606,1,81583
040012,201606,2,4609
040012,201606,3,6.9462
040012,201606,4,2.6647
040012,201606,6,19
040012,201606,7,50392147468
040012,201607,1,79571
040012,201607,2,4231
040012,201607,3,7.3182
040012,201607,4,2.685
040012,201607,6,19
040012,201607,7,43831511087
040012,201608,1,89707
040012,201608,2,3895
040012,201608,3,7.5288
040012,201608,4,2.6615
040012,201608,5,9.2605
040012,201608,6,16
040012,201608,7,42236731255
040012,201609,1,89399
040012,201609,2,4531
040012,201609,3,7.6889
040012,201609,4,2.7935
040012,201609,5,9.33
040012,201609,6,25
040012,201609,7,45286048552
040012,201610,1,87228
040012,201610,2,4623
040012,201610,3,8.0419
040012,201610,4,3.0753
040012,201610,6,18
040012,201610,7,44974593477
040012,201611,1,89609
040012,201611,2,3856
040012,201611,3,7.7716
040012,201611,4,3.3552
040012,201611,6,18
040012,201611,7,62165730516
040012,201612,1,89930
040012,201612,2,3676
040012,201612,3,8.2588
040012,201612,4,3.0601
040012,201612,6,16
040012,201612,7,52344279092
040014,201501,1,6653
040014,201501,2,5558
040014,201501,3,6.0389
040014,201501,4,2.5952
040014,201501,6,12
040014,201501,7,33023009288
040014,201502,1,6237
040014,201502,2,5062
040014,201502,3,6.2703
040014,201502,4,2.7909
040014,201502,6,12
040014,201502,7,28649559394
040014,201503,1,8832
040014,201503,2,6086
040014,201503,3,6.0661
040014,201503,4,3.3789
040014,201503,6,22
040014,201503,7,41315461084
040014,201504,1,5599
040014,201504,2,4496
040014,201504,3,5.7988
040014,201504,4,2.9751
040014,201504,6,29
040014,201504,7,41611784188
040014,201505,1,4887
040014,201505,2,3725
040014,201505,3,5.8645
040014,201505,4,2.6047
040014,201505,6,12
040014,201505,7,32631043930
040014,201506,1,5895
040014,201506,2,4531
040014,201506,3,6.299
040014,201506,4,2.9568
040014,201506,6,21
040014,201506,7,34889119153
040014,201507,1,6745
040014,201507,2,4103
040014,201507,3,6.3007
040014,201507,4,3.1826
040014,201507,6,27
040014,201507,7,27911394168
040014,201508,1,7854
040014,201508,2,5273
040014,201508,3,6.5982
040014,201508,4,3.3732
040014,201508,6,33
040014,201508,7,31497992600
040014,201509,1,5590
040014,201509,2,4379
040014,201509,3,6.3341
040014,201509,4,2.5223
040014,201509,6,20
040014,201509,7,41811706047
040014,201510,1,5208
040014,201510,2,4082
040014,201510,3,6.2317
040014,201510,4,2.8388
040014,201510,6,17
040014,201510,7,34632719403
040014,201511,1,6018
040014,201511,2,4730
040014,201511,3,6.0497
040014,201511,4,3.4324
040014,201511,6,16
040014,201511,7,35525459534
040014,201512,1,7620
040014,201512,2,4846
040014,201512,3,6.134
040014,201512,4,3.1857
040014,201512,6,35
040014,201512,7,43671056884
040014,201601,1,6722
040014,201601,2,4052
040014,201601,3,5.9336
040014,201601,4,3.3103
040014,201601,6,36
040014,201601,7,38254665312
040014,201602,1,5599
040014,201602,2,4385
040014,201602,3,6.9142
040014,201602,4,3.598
040014,201602,6,24
040014,201602,7,32757920276
040014,201603,1,5263
040014,201603,2,4043
040014,201603,3,7.0836
040014,201603,4,3.5307
040014,201603,6,40
040014,201603,7,33243559079
040014,201604,1,4771
040014,201604,2,3617
040014,201604,3,7.0699
040014,201604,4,3.8388
040014,201604,6,18
040014,201604,7,29277608608
040014,201605,1,7705
040014,201605,2,5033
040014,201605,3,7.2326
040014,201605,4,3.4895
040014,201605,6,38
040014,201605,7,37638099718
040014,201606,1,5617
040014,201606,2,4422
040014,201606,3,6.8064
040014,201606,4,2.9895
040014,201606,6,27
040014,201606,7,48683948258
040014,201607,1,4182
040014,201607,2,3171
040014,201607,3,6.8304
040014,201607,4,3.3867
040014,201607,6,20
040014,201607,7,48795617294
040014,201608,1,5563
040014,201608,2,4360
040014,201608,3,6.9969
040014,201608,4,4.2493
040014,201608,6,20
040014,201608,7,45304708025
040014,201609,1,7489
040014,201609,2,5278
040014,201609,3,7.4205
040014,201609,4,3.3264
040014,201609,6,33
040014,201609,7,48850430472
040014,201610,1,5044
040014,201610,2,3960
040014,201610,3,7.4146
040014,201610,4,4.0816
040014,201610,6,18
040014,201610,7,45890087309
040014,201611,1,6160
040014,201611,2,3984
040014,201611,3,8.3137
040014,201611,4,3.5897
040014,201611,6,38
040014,201611,7,39429092187
040014,201612,1,4142
040014,201612,2,3147
040014,201612,3,8.5944
040014,201612,4,3.5037
040014,201612,6,22
040014,201612,7,41045709497
040021,201501,1,33929
040021,201501,2,6612
040021,201501,3,6.5227
040021,201501,4,2.8375
040021,201501,6,27
040021,201501,7,17666926509
040021,201502,1,33945
040021,201502,2,5524
040021,201502,3,6.3577
040021,201502,4,3.0938
040021,201502,6,27
040021,201502,7,19804501199
040021,201503,1,41165
040021,201503,2,5294
040021,201503,3,6.5904
040021,201503,4,3.0409
040021,201503,6,25
040021,201503,7,18986369805
040021,201504,1,36654
040021,201504,2,6371
040021,201504,3,7.1333
040021,201504,4,3.269
040021,201504,6,28
040021,201504,7,16126671260
040021,201505,1,34068
040021,201505,2,5506
040021,201505,3,6.802
040021,201505,4,2.7318
040021,201505,6,28
040021,201505,7,16917427599
040021,201506,1,37720
040021,201506,2,5275
040021,201506,3,6.9178
040021,201506,4,2.857
040021,201506,6,27
040021,201506,7,18456994645
040021,201507,1,44783
040021,201507,2,6518
040021,201507,3,7.2427
040021,201507,4,3.0992
040021,201507,6,25
040021,201507,7,17545462889
040021,201508,1,37716
040021,201508,2,5873
040021,201508,3,6.732
040021,201508,4,3.1121
040021,201508,6,26
040021,201508,7,19349161786
040021,201509,1,35138
040021,201509,2,5544
040021,201509,3,7.2432
040021,201509,4,3.6626
040021,201509,6,29
040021,201509,7,17584919833
040021,201510,1,38553
040021,201510,2,6620
040021,201510,3,7.375
040021,201510,4,3.4722
040021,201510,6,29
040021,201510,7,21431483648
040021,201511,1,35530
040021,201511,2,5844
040021,201511,3,6.9929
040021,201511,4,3.3201
040021,201511,6,29
040021,201511,7,17853266015
040021,201512,1,40749
040021,201512,2,5264
040021,201512,3,7.1836
040021,201512,4,3.3775
040021,201512,6,25
040021,201512,7,20442492932
040021,201601,1,35299
040021,201601,2,6634
040021,201601,3,7.7406
040021,201601,4,3.4192
040021,201601,6,25
040021,201601,7,21761742892
040021,201602,1,32950
040021,201602,2,5231
040021,201602,3,7.2195
040021,201602,4,3.3031
040021,201602,6,28
040021,201602,7,21777166569
040021,201603,1,34878
040021,201603,2,5327
040021,201603,3,7.3597
040021,201603,4,3.6599
040021,201603,6,28
040021,201603,7,25816090331
040021,201604,1,35741
040021,201604,2,6363
040021,201604,3,7.6439
040021,201604,4,3.0123
040021,201604,6,29
040021,201604,7,23626730451
040021,201605,1,39318
040021,201605,2,5594
040021,201605,3,7.3146
040021,201605,4,3.6215
040021,201605,6,24
040021,201605,7,24938090597
040021,201606,1,38798
040021,201606,2,6778
040021,201606,3,7.937
040021,201606,4,3.3235
040021,201606,6,30
040021,201606,7,19417227739
040021,201607,1,35832
040021,201607,2,5648
040021,201607,3,8.4016
040021,201607,4,3.6988
040021,201607,6,29
040021,201607,7,20350484396
040021,201608,1,32239
040021,201608,2,5598
040021,201608,3,7.9566
040021,201608,4,3.4983
040021,201608,6,15
040021,201608,7,20879764418
040021,201609,1,35958
040021,201609,2,7366
040021,201609,3,8.1334
040021,201609,4,3.5443
040021,201609,6,23
040021,201609,7,25151862270
040021,201610,1,29247
040021,201610,2,6160
040021,201610,3,8.1387
040021,201610,4,3.8439
040021,201610,6,30
040021,201610,7,23007033964
040021,201611,1,36828
040021,201611,2,6224
040021,201611,3,8.3551
040021,201611,4,3.6982
040021,201611,6,22
040021,201611,7,26275370935
040021,201612,1,33614
040021,201612,2,6488
040021,201612,3,9.5459
040021,201612,4,4.0277
040021,201612,6,30
040021,201612,7,24228767424
040036,201501,1,491
040036,201501,2,251
040036,201501,3,5.4678
040036,201501,4,5.596
040036,201501,6,22
040036,201501,7,10239683859
040036,201502,1,560
040036,201502,2,301
040036,201502,3,5.3169
040036,201502,4,3.8287
040036,201502,6,22
040036,201502,7,4046834568
040036,201503,1,832
040036,201503,2,338
040036,201503,3,5.5772
040036,201503,4,4.9492
040036,201503,6,50
040036,201503,7,15175706160
040036,201504,1,536
040036,201504,2,242
