cve_periodo,cve_institucion,cve_TEC,cve_dato,saldo
201505,040021,1,4,18490
201602,040012,2,0,25930610029
201606,040002,5,1,1410194898
201503,040044,3,2,40873263
201610,040044,3,3,358
201506,040012,3,3,17569
201602,040021,5,4,11
201511,040044,5,0,1684290272
201507,5,3,2,2664098832
201607,040014,1,1,42379934176
201608,040044,2,2,540902693
201607,040044,4,4,624
201609,040044,2,4,482
201505,040044,5,3,8
201601,040036,5,4,19
201610,040014,4,3,8984
201504,5,3,1,64922469333
201509,040002,2,1,27368227659
201611,040021,3,1,2937076224
201503,040012,3,4,1662
201608,040012,4,1,2.89921E+11
201611,040002,2,0,35308604414
201506,040072,4,3,3838
201509,040014,4,4,1542
201503,040044,2,1,3686429799
201508,040012,3,1,12838887911
201503,040044,2,4,386
201610,040002,1,2,155837474
201510,040036,3,3,411
201604,040044,2,0,4345515577
201502,040002,5,3,5
201507,040014,4,2,5972224242
201512,040036,3,0,965222062
201503,040036,5,2,2843410
201611,040036,5,3,374
201503,040012,1,4,157344
201506,040044,5,1,1536775478
201611,040002,2,1,34898325433
201504,040002,2,3,38429
201606,040012,1,0,65712973648
201501,040036,2,4,2798
201607,040036,3,3,317
201603,040012,1,0,63024320562
201609,040014,1,2,1089734001
201602,040072,5,0,8918624261
201608,040002,4,0,1.69273E+11
201609,040002,2,2,409111220
201504,040014,4,1,1.55249E+11
201605,040044,3,1,3540681149
201606,040002,3,0,8606409850
201503,040072,2,3,26702
201603,040021,4,3,90430
201612,040044,2,3,771
201609,040021,4,0,1.19525E+11
201510,040012,2,4,13909
201511,040002,2,4,32969
201611,040036,3,1,668988845
201512,5,2,3,195181
201606,040036,5,3,403
201607,040002,2,3,43548
201512,040072,1,2,809657961
201604,040002,2,3,42210
201611,040014,2,0,36512765319
201609,040044,4,2,1359560164
201610,5,3,2,2924835930
201604,040072,2,1,25572684926
201609,040044,1,2,67932267
201507,040072,2,2,2198656580
201605,040021,4,4,911
201602,040021,5,1,3094022202
201606,040012,1,3,220981
201602,040036,1,1,1216069488
201604,040072,4,2,2865140152
201504,040072,5,4,24
201511,040021,1,0,4745223333
201512,040021,2,4,7091
201605,040002,3,4,944
201512,040021,1,3,51097
201602,5,4,0,1.24038E+12
201601,040072,3,4,1229
201510,040044,4,4,584
201605,040036,3,0,870367743
201603,040044,5,1,1735736328
201511,040044,3,1,3235665110
201501,040036,4,1,97946922961
201501,040072,3,4,1390
201508,040072,5,3,69
201506,040036,1,1,1594609419
201604,040021,1,2,370815426
201501,040072,1,0,11570844570
201603,040044,1,0,1702763618
201606,040072,3,4,1435
201607,040072,4,0,1.37333E+11
201607,040002,3,2,63955460
201601,040036,4,4,368
201506,040072,1,1,10033561312
201512,040021,3,3,5189
201501,040072,4,3,3854
201610,040036,3,2,147486453
201605,040002,4,4,1241
201604,040012,5,1,2673496320
201512,040021,4,0,1.09263E+11
201608,040012,1,3,224069
201511,040014,4,0,1.69717E+11
201502,040072,3,3,3046
201611,040012,5,3,39
201504,040021,2,4,6866
201501,040002,4,4,1209
201605,040012,4,2,2708692634
201509,5,5,1,79293674184
201508,040021,2,2,512847169
201611,040021,5,3,32
201604,040036,4,1,98841777258
201610,040044,2,4,493
201504,040044,4,1,51288670832
201604,040021,2,2,486911600
201601,040012,1,1,57567336560
201511,040036,2,0,2300428863
201611,040072,4,1,1.42128E+11
201509,040072,5,2,1711434541
201502,040072,5,0,14247984320
201505,5,4,3,337742
201505,040044,4,1,51163295861
201505,040044,4,2,960082514
201603,040036,3,2,139905509
201604,040014,4,3,8972
201609,040014,4,1,2.04116E+11
201511,040072,4,4,990
201506,040072,3,0,8525289792
201602,040072,2,2,1985475417
201509,040002,3,2,177427814
201604,040072,5,1,6309439750
201502,040072,2,4,17205
201605,040044,2,4,418
201505,040002,1,3,12277
201607,040021,5,2,399663079
201611,040044,1,2,70371055
201505,040021,3,4,407
201611,040012,2,3,39718
201507,040044,5,0,1559970915
201510,040044,3,3,316
201604,040014,4,0,1.68E+11
201605,040014,2,0,33862527537
201604,040021,1,3,49663
201502,040012,5,0,3192881279
201506,040036,1,4,3508
201501,040002,2,0,24926612337
201609,040002,1,1,11311282168
201509,040036,1,0,1625302932
201603,5,4,3,339800
201510,040014,5,4,18
201511,040072,4,1,1.16045E+11
201612,040002,5,0,1077562167
201611,040044,4,4,630
201501,040072,2,4,17527
201610,040021,3,3,4385
201601,040044,4,0,71734457910
201510,040036,1,1,1394935206
201603,040002,4,1,1.48432E+11
201607,5,1,0,1.71178E+11
201506,040072,2,2,2251820755
201507,040014,1,4,39110
201607,5,2,0,1.86718E+11
201608,040014,3,1,10496672910
201502,040044,4,0,50076052264
201604,040014,3,0,11865449240
201606,040012,5,0,2556556783
201603,040021,2,3,25453
201511,040014,3,0,11224221184
201611,040044,3,1,3550794587
201607,040014,2,2,876154147
201605,5,2,0,1.84648E+11
201502,040036,5,0,34169667764
201508,040044,4,3,1003
201509,040036,4,3,2046
201606,040036,1,0,1905312584
201510,040072,2,4,15844
201602,040012,4,4,1889
201604,040021,5,0,3363451706
201501,5,3,0,68653651815
201512,040044,4,2,1170524055
201505,040021,4,4,635
201512,040012,4,4,1889
201611,040044,3,2,174652292
201610,040012,5,3,38
201606,040036,3,2,150686798
201508,040044,2,4,396
201611,040021,5,1,1542004979
201611,040072,4,2,1505586171
201601,040036,3,0,975844770
201606,040072,4,3,4292
201611,040014,2,3,22213
201504,040021,2,2,434509305
201608,040044,2,1,3902373737
201502,040002,1,4,10210
201505,040036,1,2,169812240
201606,040014,4,1,1.76776E+11
201605,040021,4,0,1.19212E+11
201503,040072,2,2,2205013758
201607,040021,3,0,3097263224
201609,040072,1,1,12136195720
201609,5,1,2,7555429296
201612,040021,4,2,3927387391
201603,040044,5,3,7
201504,040002,5,0,532093932
201505,040072,4,0,1.13087E+11
201603,040044,2,1,3794963113
201504,5,1,0,1.38316E+11
201602,5,1,4,247894
201605,040072,1,0,12210839424
201507,040002,3,1,8896988891
201604,040036,4,2,2813343236
201511,040021,3,1,2923525654
201607,040002,5,4,3
201501,040036,5,3,348
201509,5,5,2,1797759581
201610,040002,3,1,8911063906
201511,5,5,1,78810759961
201608,040002,2,2,420356659
201607,040014,4,0,1.95475E+11
201511,040072,2,4,15629
201609,040014,4,3,9030
201604,040002,4,1,1.47228E+11
201511,040021,1,1,4472826443
201608,040021,5,3,36
201505,5,5,0,81491015659
201512,040036,3,4,158
201502,040072,5,1,12518576746
201505,040012,3,0,13568533296
201611,040072,1,3,31020
201507,040012,1,1,51833476713
201610,040014,4,2,3227942804
201506,040002,2,1,26162525650
201605,5,1,4,260827
201510,040002,4,3,4066
201611,040044,3,3,350
201505,040002,3,1,8827946170
201504,040044,5,1,1697142724
201608,040021,4,0,1.15071E+11
201606,040044,2,0,4506544837
201601,040036,1,4,2659
201608,5,5,3,710
201512,040002,4,1,1.62275E+11
201612,5,4,1,1.42589E+12
201501,040002,1,1,7128166449
201512,040002,5,3,5
201610,5,3,1,65918805692
201511,5,1,1,1.4975E+11
201509,040044,3,0,3364150197
201509,040036,4,2,3228561801
201504,040072,1,2,807268415
201610,040044,1,1,1876891253
201611,040002,1,4,11413
201607,040072,4,3,4366
201611,040044,1,1,1891748583
201512,040021,2,3,25634
201509,5,1,4,226200
201502,040021,5,1,5382147771
201507,040072,4,4,1006
201510,040014,4,3,9272
201606,040036,3,3,346
201611,040014,2,2,838143441
201605,040036,2,3,3265
201505,040044,2,3,487
201610,040014,4,0,2.09756E+11
201611,5,4,3,381287
201502,040036,1,0,1655529796
201603,5,1,2,6507115077
201602,040044,2,4,410
201504,040036,5,2,85749
201611,5,2,1,1.91373E+11
201609,040072,4,3,4378
201511,040021,5,1,3490824614
201509,040002,3,1,8764659030
201601,040044,1,0,1603036290
201507,040021,4,0,1.00143E+11
201505,040021,2,0,5973334516
201512,040014,2,4,12367
201506,040044,4,0,53919613220
201603,040036,5,4,19
201610,040036,1,3,10525
201503,040021,3,2,240947306
201612,040021,3,2,267485914
201506,040014,2,1,30155788867
201610,040036,4,1,1.13213E+11
201508,040002,1,2,72933593
201509,040014,1,3,54960
201611,040036,4,0,1.32524E+11
201609,040002,3,2,107524146
201502,040072,3,2,496544561
201506,040072,3,2,441028538
201612,040036,3,1,676578434
201604,040012,1,1,60601542971
201607,040012,3,4,1589
201608,040012,2,4,15259
201510,040044,5,1,1536789622
201604,040002,1,0,10183848822
201506,040014,2,4,12309
201611,040002,1,2,163916414
201610,5,4,1,1.34177E+12
201603,040036,3,3,383
201602,040021,2,4,7429
201602,040036,3,0,933985724
201508,040014,3,2,387884810
201507,040012,1,0,54469390890
201611,040012,1,2,3693801165
201507,040036,3,4,194
201508,040044,1,2,51423598
201610,040072,1,0,13100706946
201604,040014,4,1,1.62946E+11
201505,040072,1,4,14378
201606,040044,4,0,74411244658
201607,040072,1,3,30792
201506,040002,1,4,10285
201509,040072,1,2,854001888
201505,5,5,2,2003739740
201502,040036,3,0,1079381718
201603,040014,5,2,54652944
201612,040044,5,4,4
201607,040044,5,0,1728851434
201604,5,2,3,206893
201511,040036,3,1,777608409
201601,040014,2,0,32609498497
201505,040072,2,2,2230129136
201605,5,2,1,1.76927E+11
201504,040012,1,1,49020197422
201609,040002,2,3,44483
201510,5,1,2,6040106656
201607,040036,4,2,2840642035
201509,040014,4,2,5610887290
201606,040012,3,0,12815186000
201510,040072,5,3,68
201503,040012,4,2,3227752849
201505,5,3,2,2523077341
201507,040014,3,3,3543
201611,5,3,4,4450
201602,5,3,1,66703194476
201601,040044,3,2,164652660
201509,040021,3,0,3075644880
201512,040036,5,1,43501603210
201505,040021,2,4,6856
201504,040036,5,3,358
201607,040036,2,0,2247336777
201605,040014,4,0,1.68856E+11
201511,040036,4,4,384
201611,040014,3,3,3339
201611,040072,3,3,2922
201611,5,4,1,1.41402E+12
201608,040072,1,2,830998883
201511,040002,5,3,3
201505,5,1,1,1.3505E+11
201601,040021,2,3,24907
201504,040012,5,4,13
