cve_periodo,cve_institucion,cve_estado,cve_TEC,dat_id_credito_met_cnbv,dat_rfc,MDMC
201512,040021,5,1,133,96,16764811
201512,040014,19,3,90,50,251743030
201512,040002,10,1,6,6,1064453
201512,040002,999,1,1,1,379923
201512,040012,24,3,268,5,46690933
201512,040021,2,4,82,11,443897045
201612,040036,9,4,83,32,1659375547
201512,040021,4,2,18,15,10666155
201512,040002,7,4,2,2,173000000
201512,040036,999,4,47,12,815769488
201612,040036,11,2,2,1,270305
201512,040012,1,3,11,4,20049000
201612,040044,10,2,3,2,41913684
201512,040021,32,3,19,1,2732492
201512,040021,31,4,121,8,126688209
201512,040012,2,2,30,17,52275436
201512,040036,25,4,2,2,6110961
201612,040044,6,4,3,2,39815006
201512,040012,24,2,60,15,35164320
201612,040044,8,2,11,9,41908500
201512,040012,22,4,1867,13,180938379
201512,040044,27,4,3,3,102977254
201512,040014,21,3,23,7,27624197
201512,040044,28,3,5,4,44421137
201612,040002,4,3,2,1,7000000
201612,040002,3,4,3,2,5756069
201512,040044,30,1,1,1,3000000
201512,040021,28,4,71,6,305112779
201612,040002,20,1,17,17,17584405
201512,040002,5,3,6,5,3641653
201612,040044,5,1,3,3,65001006
201612,040002,17,4,4,4,78532809
201512,040044,32,3,1,1,8000000
201512,040044,2,1,6,5,8978239
201512,5,14,5,6,2,37991895
201612,040072,20,3,3,2,5020520
201612,040072,19,4,173,102,4178021361
201612,040014,30,2,51,42,140326908
201512,5,15,4,2741,190,13796927392
201612,5,6,4,129,17,779876092
201512,5,16,3,270,33,208061629
201612,040021,28,4,137,4,379157122
201512,040072,16,4,43,11,206713742
201612,040072,21,2,134,119,76080046
201612,5,8,2,551,402,672120407
201612,040044,4,2,3,2,1109839
201612,040072,22,1,123,116,57897612
201512,040002,19,3,14,8,22803531
201612,040072,4,4,8,4,263381317
201512,040072,5,1,102,93,56745409
201612,5,4,3,37,8,68134312
201612,5,32,1,262,208,88842717
201512,040072,1,2,25,25,19379170
201612,040021,25,1,89,87,6055585
201612,040072,9,2,1135,1008,678744527
201512,040002,24,1,8,8,1772865
201612,040072,7,4,4,3,64016640
201612,5,3,4,47,13,428251587
201512,040002,21,4,35,16,371253102
201612,040014,20,3,2,2,14681362
201612,5,30,3,298,58,375420416
201512,040044,17,4,4,3,19972737
201612,040044,17,4,2,2,35580437
201612,040012,15,2,667,76,301456885
201612,040044,26,1,4,4,217587
201612,040002,9,3,52,47,222276384
201612,040014,13,2,4,4,8354740
201612,040012,14,3,198,32,200133733
201612,040012,13,4,18,6,90190698
201612,040012,16,1,132,48,110299637
201512,040012,1,4,116,10,209246341
201512,040014,25,1,93,81,117790056
201512,040014,2,1,80,74,107925149
201512,040012,27,1,61,33,33329409
201512,040012,3,2,6,6,3280248
201512,040012,4,1,23,11,13870839
201512,040002,4,3,1,1,9000000
201512,040072,27,3,1,1,4000000
201512,040072,26,4,30,8,236083269
201512,040002,10,2,28,28,17819476
201512,040021,32,2,19,7,17686770
201512,040072,16,3,5,4,8672547
201612,040021,2,2,40,39,14387964
201512,040072,18,1,14,14,9917266
201612,040021,1,3,8,1,15100000
201612,040002,28,3,13,6,38474776
201612,040014,24,4,31,9,275258302
201612,040002,24,1,7,7,17462961
201512,5,21,2,569,317,508527275
201512,040072,24,3,10,8,63780065
201512,5,19,4,28519,343,35135633011
201612,040002,29,2,5,4,872226
201512,040072,19,2,418,367,459871581
201612,040021,24,4,732,5,27920949
201512,5,20,3,15,9,22366335
201612,040014,25,3,15,12,90133150
201612,040014,26,2,42,35,108358057
201612,040021,27,1,81,81,9094970
201612,040002,30,1,47,47,70641458
201512,040012,30,3,204,19,108411948
201512,040021,1,2,29,25,6480334
