cve_periodo,cve_institucion,imor
201512,040002,0.27
201512,040012,1.55
201512,040014,2.84
201512,040021,8.44
201512,040036,2.33
201512,040044,2.54
201512,040072,4.22
201612,040002,0.33
201612,040012,1.41
201612,040014,1.72
201612,040021,3.93
201612,040036,1.96
201612,040044,2.35
201612,040072,2.78
201512,5,2.49
201612,5,1.72
