cve_periodo,cve_institucion,Concentracion,Monto_Acumulado,Participacion_Acumulada
201508,040002,Cliente 180,1.02668E+11,0.536
201508,040014,Cliente 2,17310831705,0.0759
201503,040014,Cliente 7,23140385870,0.1053
201609,040072,Cliente 4,13417478916,0.07
201511,040021,Cliente 150,86639578767,0.7051
201512,040036,Cliente 200,1.45399E+11,0.9602
201501,040014,Cliente 30,52073266802,0.2367
201508,040072,Cliente 14,32714067823,0.1915
201505,040002,Cliente 7,23402258942,0.1261
201601,040012,Cliente 6,36570341453,0.1077
201602,040072,Cliente 200,1.15762E+11,0.6144
201608,040072,Cliente 8,22550429887,0.1194
201608,040014,Cliente 14,60557510820,0.2183
201509,040014,Cliente 7,31476126207,0.1305
201605,040012,Cliente 9,47532358802,0.1348
201610,040036,Cliente 20,1.00054E+11,0.5946
201605,040012,Cliente 100,1.54248E+11,0.4374
201510,040002,Cliente 160,1.03347E+11,0.5162
201507,040072,Cliente 80,76461181146,0.4458
201604,040014,Cliente 1,8795166971,0.0363
201610,040044,Cliente 170,65091516619,0.6994
201601,040012,Cliente 180,1.77925E+11,0.5238
201609,040014,Cliente 7,43210445993,0.1513
201510,040072,Cliente 140,92962726779,0.5367
201607,040072,Cliente 90,92492964091,0.4786
201502,040021,Cliente 16,33546203738,0.2687
201603,040021,Cliente 50,59887655854,0.4606
201603,040002,Cliente 300,1.20035E+11,0.6026
201505,040036,Cliente 9,52718009777,0.3348
201503,040014,Cliente 3,13394458267,0.061
201609,040021,Cliente 20,35313475045,0.2596
201508,040021,Cliente 16,29787031270,0.246
201512,040002,Cliente 140,1.06186E+11,0.501
201602,040021,Cliente 300,1.08818E+11,0.8377
201502,040012,Cliente 19,58944559849,0.2086
201612,040012,Cliente 180,1.99085E+11,0.5103
201610,040014,Cliente 140,1.39478E+11,0.4864
201509,040002,Cliente 3,20093087026,0.1006
201609,040036,Cliente 110,1.57692E+11,0.9231
201608,040036,Cliente 16,83012546396,0.5277
201612,040012,Cliente 12,50834900242,0.1303
201510,040002,Cliente 400,1.33111E+11,0.6649
201606,040002,Cliente 5,14442042760,0.0679
201506,040012,Cliente 17,54596444534,0.186
201608,040002,Cliente 300,1.37831E+11,0.617
201608,040012,Cliente 9,44245098044,0.1206
201604,040021,Cliente 15,29520152471,0.225
201510,040014,Cliente 130,99941628795,0.4202
201503,040014,Cliente 12,30001549990,0.1365
201605,040021,Cliente 19,35462683814,0.2603
201507,040012,Cliente 2,12148936950,0.0406
201608,040044,Cliente 190,65789160280,0.7165
201603,040044,Cliente 4,11548575768,0.1438
201605,040036,Cliente 16,83161541432,0.5244
201606,040014,Cliente 11,38451570030,0.1502
201501,040021,Cliente 50,58430338311,0.4662
201607,040036,Cliente 19,89550251709,0.5709
201509,040036,Cliente 80,1.2714E+11,0.8642
201504,040036,Cliente 2,14700341669,0.094
201508,040036,Cliente 6,39398783200,0.2578
201610,040012,Cliente 20,67513687970,0.1856
201501,040012,Cliente 11,43793795713,0.1546
201511,040044,Cliente 60,37617348599,0.4972
201605,040036,Cliente 60,1.31361E+11,0.8284
201501,040044,Cliente 13,13610986070,0.2278
201510,040044,Cliente 5,13051454104,0.1744
201601,040021,Cliente 170,94515364082,0.7306
201510,040014,Cliente 18,43077924020,0.1811
201610,040036,Cliente 300,1.65401E+11,0.983
201610,040036,Cliente 14,85107262500,0.5058
201604,040044,Cliente 2,6525714306,0.0788
201607,040012,Cliente 17,68219544741,0.1854
201612,040072,Cliente 150,1.18572E+11,0.5718
201609,040002,Cliente 90,94739025017,0.4139
201504,040072,Cliente 140,88996139511,0.5271
201510,040036,Cliente 300,1.39302E+11,0.9775
201510,040021,Cliente 90,72425933358,0.5918
201610,040021,Cliente 3,9019066807,0.0662
