cve_periodo,cve_institucion,Concentracion,Monto_Acumulado,Participacion_Acumulada
201502,040012,Cliente 15,52122206084,0.1845
201504,040072,Cliente 120,84772466793,0.5021
201509,040021,Cliente 190,91004922027,0.7529
201612,040044,Cliente 1000,95400684600,0.9851
201506,040002,Cliente 13,31166788003,0.1699
201609,040072,Cliente 40,64831711493,0.338
201605,040036,Cliente 150,1.49219E+11,0.941
201510,040021,Cliente 8,19229591632,0.1571
201606,040021,Cliente 70,71323392248,0.5269
201607,040014,Cliente 9,43448482572,0.1613
201602,040012,Cliente 19,71501086093,0.2097
201502,040021,Cliente 10,25859852754,0.2072
201505,040014,Cliente 500,1.46241E+11,0.6264
201608,040014,Cliente 2,19852230149,0.0716
201510,040072,Cliente 90,80798810401,0.4664
201511,040002,Cliente 100,92881985833,0.4516
201507,040002,Cliente 180,97709529336,0.527
201501,040021,Cliente 1000,1.18294E+11,0.9438
201508,040044,Cliente 60,32336772790,0.4761
201603,040014,Cliente 110,98577444053,0.4096
201509,040044,Cliente 14,21136723272,0.2805
201610,040002,Cliente 5,17708042832,0.0764
201503,040036,Cliente 5,32246557108,0.2177
201507,040012,Cliente 130,1.37866E+11,0.4603
201605,040036,Cliente 13,74501527254,0.4698
201501,040036,Cliente 6,34178856633,0.2422
201502,040002,Cliente 180,91869882332,0.5348
201605,040036,Cliente 200,1.52162E+11,0.9596
201507,040021,Cliente 300,98288792747,0.8308
201502,040002,Cliente 190,93489668885,0.5442
201509,040044,Cliente 190,54583016684,0.7245
201609,040072,Cliente 190,1.14421E+11,0.5965
201512,040014,Cliente 9,35703961637,0.1418
201610,040072,Cliente 12,30826061517,0.1594
201609,040014,Cliente 30,82342255450,0.2884
201608,040002,Cliente 16,37973725323,0.17
201604,040036,Cliente 9,56268407708,0.3607
201612,040002,Cliente 140,1.19369E+11,0.4896
201510,040072,Cliente 20,39779261032,0.2296
201602,040036,Cliente 30,1.09213E+11,0.6791
201510,040002,Cliente 11,34012164159,0.1699
201506,040012,Cliente 50,91211352842,0.3108
201611,040021,Cliente 12,26512566945,0.1897
201510,040014,Cliente 100,90818702844,0.3818
201608,040014,Cliente 110,1.27117E+11,0.4583
201611,040014,Cliente 190,1.46068E+11,0.5127
201601,040044,Cliente 150,56600809864,0.6836
201610,040021,Cliente 170,99407155979,0.7292
201505,040014,Cliente 160,1.10404E+11,0.4729
201506,040021,Cliente 150,83995222110,0.7092
201512,040021,Cliente 13,26127962910,0.2069
201610,040021,Cliente 190,1.02581E+11,0.7525
201611,040044,Cliente 14,23594434575,0.2442
201503,040044,Cliente 7,9269243486,0.1583
201604,040002,Cliente 120,89723291929,0.4528
201607,040044,Cliente 4,11051845645,0.1252
201606,040002,Cliente 50,62698236479,0.2949
201501,040021,Cliente 190,95536071544,0.7622
201502,040021,Cliente 6,19454049740,0.1558
201501,040072,Cliente 10,23764501281,0.1385
201510,040021,Cliente 9,20669098855,0.1689
201512,040021,Cliente 10,22160919821,0.1755
201504,040072,Cliente 6,17010416572,0.1007
201510,040036,Cliente 100,1.27598E+11,0.8954
201503,040014,Cliente 17,35903263458,0.1634
201503,040021,Cliente 300,97386537033,0.8309
201606,040012,Cliente 15,62126558935,0.1723
201609,040002,Cliente 1,6015500055,0.0263
201512,040036,Cliente 16,76714261729,0.5066
201501,040021,Cliente 15,32848329472,0.2621
201606,040072,Cliente 12,32990884049,0.1748
201508,040014,Cliente 3,22526119741,0.0988
201502,040072,Cliente 3,9480927657,0.0557
201608,040012,Cliente 13,57444738538,0.1566
201608,040036,Cliente 4,32979205179,0.2097
201507,040036,Cliente 70,1.26016E+11,0.8377
201612,040072,Cliente 8,23062570268,0.1112
201612,040002,Cliente 180,1.29737E+11,0.5322
201505,040002,Cliente 1,8850694950,0.0477
201508,040014,Cliente 20,46131039618,0.2024
201601,040014,Cliente 70,91291434835,0.3587
201608,040072,Cliente 12,30623095493,0.1622
201511,040072,Cliente 500,1.25184E+11,0.7126
201511,040012,Cliente 160,1.57729E+11,0.4921
201503,040014,Cliente 9,25996379251,0.1183
201502,040012,Cliente 5,25911440479,0.0917
201612,040021,Cliente 40,56090862717,0.4015
201512,040014,Cliente 17,48957922426,0.1945
201501,040044,Cliente 100,34362597231,0.5752
201510,040021,Cliente 12,24752151438,0.2022
201607,040021,Cliente 11,23104472574,0.1738
201608,040044,Cliente 130,58702070945,0.6393
201605,040021,Cliente 20,36670885631,0.2691
201603,040036,Cliente 50,1.23029E+11,0.7829
201604,040072,Cliente 200,1.10213E+11,0.599
201606,040036,Cliente 200,1.53549E+11,0.9611
201601,040036,Cliente 80,1.41345E+11,0.8793
201602,040021,Cliente 15,30223748632,0.2327
201609,040012,Cliente 2,13581692268,0.0364
201503,040012,Cliente 80,1.15776E+11,0.3999
201609,040014,Cliente 80,1.17241E+11,0.4106
201509,040014,Cliente 70,83282709522,0.3452
201503,040012,Cliente 170,1.51251E+11,0.5224
201502,040012,Cliente 110,1.27925E+11,0.4528
201509,040014,Cliente 190,1.17175E+11,0.4857
201611,040036,Cliente 3,29741463831,0.1603
201504,040012,Cliente 3,21753182543,0.0736
201610,040002,Cliente 16,38742343272,0.1671
201608,040014,Cliente 30,80879364943,0.2916
201612,040014,Cliente 6,30004942712,0.1089
201501,040021,Cliente 30,46412157995,0.3703
201601,040072,Cliente 500,1.34152E+11,0.7254
201506,040012,Cliente 10,40517616296,0.1381
201604,040036,Cliente 13,72315945545,0.4636
201504,040012,Cliente 14,56077537831,0.1896
201503,040012,Cliente 8,37713840945,0.1303
201509,040021,Cliente 1000,1.13788E+11,0.9414
201510,040012,Cliente 200,1.70425E+11,0.5321
201502,040072,Cliente 10,23667493809,0.1391
201505,040021,Cliente 17,30828771852,0.2623
201601,040021,Cliente 70,68030838550,0.5259
201606,040021,Cliente 8,19655679569,0.1452
201612,040012,Cliente 150,1.87045E+11,0.4795
201509,040036,Cliente 10,57209494147,0.3889
201510,040014,Cliente 17,42077226511,0.1769
201604,040012,Cliente 10,48384586041,0.1419
201511,040044,Cliente 90,43813355985,0.5791
201602,040044,Cliente 1000,80816683763,0.9883
201504,040044,Cliente 20,18878989664,0.3021
201510,040002,Cliente 50,67181838338,0.3356
201604,040036,Cliente 10,60568943813,0.3883
201608,040002,Cliente 400,1.48003E+11,0.6625
201507,040036,Cliente 190,1.43246E+11,0.9523
201602,040036,Cliente 1,9058594795,0.0563
201505,040014,Cliente 4,27690695953,0.1186
201506,040021,Cliente 17,31238218209,0.2638
201511,040044,Cliente 80,41938223661,0.5543
201608,040072,Cliente 80,85922286722,0.455
201610,040021,Cliente 11,23842353863,0.1749
201608,040036,Cliente 110,1.43982E+11,0.9153
201612,040044,Cliente 400,83444517896,0.8616
201611,040044,Cliente 90,53455679079,0.5533
201602,040021,Cliente 110,83003880485,0.639
201607,040002,Cliente 2,9519778218,0.0426
201601,040072,Cliente 200,1.12934E+11,0.6107
201606,040021,Cliente 110,85958737762,0.635
201505,040044,Cliente 11,13657211356,0.2197
201612,040012,Cliente 300,2.31992E+11,0.5947
201604,040036,Cliente 2,16651732044,0.1067
201604,040036,Cliente 20,89650304432,0.5747
201509,040002,Cliente 80,84995778006,0.4255
201509,040014,Cliente 1000,1.71677E+11,0.7116
201502,040002,Cliente 12,24431830557,0.1422
201511,040072,Cliente 70,76178067424,0.4336
201511,040012,Cliente 40,90981609867,0.2838
201610,040012,Cliente 70,1.28668E+11,0.3537
201502,040012,Cliente 60,1.00636E+11,0.3562
201506,040002,Cliente 170,96933019883,0.5285
201510,040012,Cliente 180,1.6518E+11,0.5157
201512,040012,Cliente 17,58356517599,0.1808
201507,040014,Cliente 110,93885411775,0.4089
201609,040021,Cliente 4,11330479704,0.0833
201512,040012,Cliente 400,2.06117E+11,0.6384
201601,040044,Cliente 19,27520062863,0.3324
201509,040014,Cliente 170,1.13549E+11,0.4706
201608,040036,Cliente 140,1.47521E+11,0.9378
201509,040012,Cliente 12,51837323057,0.1635
201603,040044,Cliente 100,46440268700,0.5783
201501,040002,Cliente 20,33951440175,0.1955
201502,040021,Cliente 5,16964692222,0.1359
201609,040014,Cliente 300,1.65565E+11,0.5798
201506,040036,Cliente 7,43528782742,0.2864
201511,040072,Cliente 10,26347403923,0.15
201607,040014,Cliente 170,1.33446E+11,0.4955
201609,040021,Cliente 15,29310701633,0.2155
201607,040072,Cliente 130,1.04032E+11,0.5383
201603,040044,Cliente 20,25043608240,0.3119
201501,040072,Cliente 5,14114348081,0.0822
201509,040021,Cliente 4,11234361043,0.0929
201501,040044,Cliente 3,4905668314,0.0821
201508,040002,Cliente 160,98737944898,0.5154
201610,040021,Cliente 1,3510346902,0.0258
201501,040072,Cliente 2,6863716458,0.04
201503,040002,Cliente 170,98610085668,0.5435
201612,040072,Cliente 20,45130781130,0.2177
201509,040012,Cliente 17,62909516025,0.1984
201603,040021,Cliente 2,6261565075,0.0482
201512,040044,Cliente 17,23266370631,0.2986
201612,040072,Cliente 40,72253462499,0.3485
201605,040012,Cliente 120,1.63829E+11,0.4645
201602,040002,Cliente 400,1.43654E+11,0.6752
201512,040002,Cliente 160,1.10758E+11,0.5226
201611,040014,Cliente 4,23205683638,0.0815
201507,040072,Cliente 90,79482992356,0.4634
201508,040036,Cliente 1,8401312751,0.055
201603,040002,Cliente 200,1.06159E+11,0.5329
201503,040012,Cliente 9,40158110564,0.1387
201612,040012,Cliente 9,41348593318,0.106
201503,040021,Cliente 7,17620924062,0.1503
201508,040036,Cliente 50,1.1863E+11,0.7762
201612,040036,Cliente 400,1.75706E+11,0.9912
201502,040021,Cliente 18,35849943027,0.2872
201506,040072,Cliente 12,28124093669,0.1666
201504,040012,Cliente 5,30578083120,0.1034
201608,040021,Cliente 130,88109122620,0.666
201511,040012,Cliente 170,1.60891E+11,0.5019
201509,040002,Cliente 60,76029430894,0.3806
201512,040021,Cliente 11,23503528709,0.1862
201504,040072,Cliente 10,25199434888,0.1492
201504,040044,Cliente 100,36635124098,0.5863
201610,040021,Cliente 40,54525323115,0.4
201506,040014,Cliente 5,28519634515,0.123
201601,040036,Cliente 150,1.51826E+11,0.9445
201609,040072,Cliente 20,43048546305,0.2244
201611,040044,Cliente 3,10305630686,0.1067
201609,040012,Cliente 70,1.38335E+11,0.3711
201606,040002,Cliente 19,36000482899,0.1693
201612,040012,Cliente 16,61828628425,0.1585
201611,040072,Cliente 1,4383104178,0.0219
201511,040021,Cliente 110,78407761535,0.6381
201511,040044,Cliente 70,39884186414,0.5272
201609,040014,Cliente 70,1.11922E+11,0.3919
201608,040002,Cliente 15,36464837407,0.1632
201502,040044,Cliente 19,16200060167,0.2699
201603,040036,Cliente 16,78459962606,0.4993
201611,040021,Cliente 200,1.06734E+11,0.7637
201607,040021,Cliente 10,21686504269,0.1632
201607,040021,Cliente 190,1.00308E+11,0.7547
201507,040014,Cliente 9,35195442648,0.1533
201611,040012,Cliente 2,12422765985,0.0319
201611,040072,Cliente 120,1.06201E+11,0.5299
201606,040002,Cliente 8,20485920405,0.0964
201502,040002,Cliente 30,41490025050,0.2415
201505,040021,Cliente 70,62020106029,0.5277
201601,040014,Cliente 18,53361856452,0.2097
201508,040072,Cliente 12,30022253308,0.1758
201611,040012,Cliente 50,1.18372E+11,0.3044
201501,040036,Cliente 18,73100859085,0.518
201507,040036,Cliente 17,77668725340,0.5163
201603,040002,Cliente 10,23700369592,0.119
201501,040044,Cliente 40,23175371822,0.3879
201501,040036,Cliente 90,1.22274E+11,0.8665
201610,040021,Cliente 70,71513705268,0.5246
201509,040012,Cliente 500,2.14633E+11,0.6769
201502,040044,Cliente 30,20128318490,0.3354
201603,040072,Cliente 14,38104441196,0.2044
201512,040002,Cliente 18,46220534282,0.2181
201602,040072,Cliente 40,68247726258,0.3622
201507,040044,Cliente 120,40703294451,0.6203
201503,040021,Cliente 15,28007137221,0.239
201512,040044,Cliente 16,22657816701,0.2908
201608,040002,Cliente 70,82599736143,0.3697
201605,040044,Cliente 300,67730405725,0.8033
201601,040014,Cliente 120,1.1083E+11,0.4355
201603,040036,Cliente 80,1.36392E+11,0.868
201512,040002,Cliente 200,1.18593E+11,0.5596
201503,040072,Cliente 11,25452886396,0.1499
201605,040002,Cliente 110,90341858410,0.4393
201607,040044,Cliente 500,79059874941,0.8955
201507,040002,Cliente 20,37606021313,0.2028
201612,040002,Cliente 17,41373031184,0.1697
201611,040072,Cliente 11,28537660076,0.1424
201605,040072,Cliente 18,43156739703,0.231
201603,040014,Cliente 9,34992519245,0.1454
201602,040014,Cliente 40,74607678055,0.2951
201604,040014,Cliente 13,40906416015,0.1687
201507,040002,Cliente 60,63288305528,0.3413
201602,040002,Cliente 16,46081159423,0.2166
201603,040012,Cliente 18,68245001967,0.1998
201611,040044,Cliente 400,83026225560,0.8594
201602,040044,Cliente 150,55293942597,0.6762
201501,040036,Cliente 3,18886054839,0.1338
201607,040012,Cliente 30,92513373497,0.2514
201510,040012,Cliente 8,37170807982,0.1161
201604,040012,Cliente 500,2.30522E+11,0.676
201509,040036,Cliente 300,1.43786E+11,0.9774
201502,040021,Cliente 50,58571823519,0.4692
201609,040044,Cliente 17,26219427447,0.2839
201610,040044,Cliente 400,80243579460,0.8622
201508,040044,Cliente 16,18016269865,0.2652
201501,040044,Cliente 500,54443954815,0.9113
201604,040036,Cliente 19,87506358950,0.5609
201606,040036,Cliente 500,1.58082E+11,0.9895
201608,040012,Cliente 130,1.7054E+11,0.465
201511,040036,Cliente 16,73109405522,0.5182
201603,040014,Cliente 160,1.11016E+11,0.4613
201508,040014,Cliente 30,54098532700,0.2373
201505,040012,Cliente 110,1.3537E+11,0.4518
201508,040021,Cliente 190,91348630040,0.7546
201502,040044,Cliente 12,12934915186,0.2155
201508,040014,Cliente 140,1.00517E+11,0.4409
201609,040012,Cliente 90,1.52935E+11,0.4103
201611,040002,Cliente 40,71113722023,0.2895
201609,040036,Cliente 60,1.44063E+11,0.8433
201502,040044,Cliente 40,23014905944,0.3835
201606,040012,Cliente 50,1.17067E+11,0.3247
201606,040021,Cliente 10,22940158761,0.1695
201603,040036,Cliente 30,1.04237E+11,0.6633
201506,040021,Cliente 8,19805067615,0.1672
201603,040014,Cliente 8,33085647243,0.1375
201507,040021,Cliente 100,72602290043,0.6137
201605,040044,Cliente 140,54916745585,0.6513
201606,040002,Cliente 10,23936953860,0.1126
201502,040012,Cliente 80,1.13455E+11,0.4016
201512,040021,Cliente 70,66206177624,0.5244
201512,040012,Cliente 6,31140087430,0.0965
201604,040036,Cliente 4,30903177892,0.1981
201601,040072,Cliente 140,1.02668E+11,0.5551
201508,040044,Cliente 5,9708694860,0.1429
201604,040021,Cliente 3,9476463217,0.0722
201605,040012,Cliente 13,58640254655,0.1663
201610,040021,Cliente 130,91610718371,0.672
201509,040044,Cliente 130,48934097731,0.6495
201604,040012,Cliente 200,1.83592E+11,0.5384
201609,040002,Cliente 15,38137811934,0.1666
201611,040021,Cliente 9,21765874540,0.1557
201509,040072,Cliente 14,32693574414,0.1901
201611,040002,Cliente 19,48201588428,0.1962
201504,040014,Cliente 110,97411365602,0.4206
201605,040014,Cliente 120,1.00581E+11,0.4143
201508,040002,Cliente 1000,1.51173E+11,0.7892
201502,040021,Cliente 13,29862458086,0.2392
201601,040072,Cliente 5,17692172382,0.0957
201608,040012,Cliente 16,65401289493,0.1783
201605,040021,Cliente 9,21414023706,0.1572
201506,040012,Cliente 110,1.27296E+11,0.4338
201601,040014,Cliente 7,36401220516,0.143
201606,040021,Cliente 140,93527762998,0.6909
201501,040014,Cliente 140,99314332474,0.4515
201609,040044,Cliente 70,47786981470,0.5175
201507,040014,Cliente 190,1.11384E+11,0.4851
201610,040002,Cliente 200,1.27585E+11,0.5502
201603,040002,Cliente 15,30787125115,0.1546
201506,040072,Cliente 7,19075170614,0.113
201603,040014,Cliente 90,91943509626,0.3821
201505,040072,Cliente 80,74306164154,0.4365
201611,040014,Cliente 18,61566948560,0.2161
201607,040012,Cliente 160,1.83978E+11,0.4999
201603,040002,Cliente 140,94080072447,0.4723
201501,040012,Cliente 140,1.39072E+11,0.491
201512,040044,Cliente 170,54688860134,0.7018
201504,040002,Cliente 120,85695490383,0.4776
201608,040014,Cliente 4,30261147658,0.1091
201502,040072,Cliente 110,80756420590,0.4747
201605,040002,Cliente 180,1.07872E+11,0.5245
201512,040072,Cliente 120,96470780134,0.5301
201505,040014,Cliente 1000,1.67243E+11,0.7163
201610,040072,Cliente 200,1.16937E+11,0.6049
201612,040012,Cliente 90,1.55291E+11,0.3981
201604,040044,Cliente 110,49829940772,0.6018
201509,040014,Cliente 400,1.41677E+11,0.5872
201502,040012,Cliente 50,92878794927,0.3288
201608,040021,Cliente 80,72479959479,0.5478
201502,040044,Cliente 7,9551135859,0.1591
201605,040021,Cliente 70,72526562753,0.5323
201612,040044,Cliente 500,87088190485,0.8992
201506,040036,Cliente 3,21764875271,0.1432
201503,040044,Cliente 80,30296979741,0.5175
201509,040044,Cliente 20,24226741234,0.3216
201512,040044,Cliente 10,18247356229,0.2342
201502,040014,Cliente 14,32777886391,0.1514
201502,040021,Cliente 12,28563623550,0.2288
201607,040014,Cliente 50,88797944925,0.3297
201605,040072,Cliente 80,86180208358,0.4613
201603,040036,Cliente 19,85270645867,0.5426
201511,040044,Cliente 9,17904789111,0.2367
201503,040036,Cliente 9,49798943283,0.3362
201502,040021,Cliente 4,14464381979,0.1159
201603,040072,Cliente 150,1.05034E+11,0.5634
201611,040014,Cliente 2,12865053229,0.0452
201607,040072,Cliente 200,1.17522E+11,0.6082
201510,040044,Cliente 16,22212940306,0.2968
201607,040072,Cliente 180,1.14334E+11,0.5917
201604,040014,Cliente 140,1.06466E+11,0.4391
201603,040036,Cliente 160,1.48169E+11,0.9429
201606,040012,Cliente 60,1.26846E+11,0.3519
201506,040072,Cliente 5,14411503332,0.0854
201611,040014,Cliente 160,1.39667E+11,0.4902
201512,040044,Cliente 50,35849592235,0.4601
201502,040044,Cliente 17,15353464626,0.2558
201507,040072,Cliente 10,27103152276,0.158
201508,040002,Cliente 4,17725038618,0.0925
201606,040012,Cliente 17,67030464417,0.1859
201505,040021,Cliente 1,3886920142,0.0331
201511,040014,Cliente 60,77266960015,0.3175
201501,040021,Cliente 60,63276055030,0.5048
201512,040014,Cliente 100,1.02108E+11,0.4056
201505,040002,Cliente 110,86465314971,0.466
201503,040014,Cliente 50,62112767237,0.2827
201507,040036,Cliente 16,75438140561,0.5015
201603,040012,Cliente 11,51293064835,0.1502
201611,040044,Cliente 30,33739792792,0.3492
201506,040036,Cliente 80,1.30638E+11,0.8595
201602,040014,Cliente 14,51406661376,0.2034
201501,040002,Cliente 160,90484132548,0.5212
201508,040002,Cliente 30,49883535250,0.2604
201609,040072,Cliente 1000,1.51113E+11,0.7878
201501,040012,Cliente 1000,2.18767E+11,0.7724
201601,040072,Cliente 190,1.11537E+11,0.6031
201609,040072,Cliente 100,94700034637,0.4937
201511,040012,Cliente 11,45334361596,0.1414
201508,040002,Cliente 2,12559051373,0.0656
201512,040002,Cliente 20,48328177657,0.228
201512,040036,Cliente 19,83383159708,0.5506
201603,040036,Cliente 180,1.49387E+11,0.9507
201502,040072,Cliente 16,31150176145,0.1831
201512,040014,Cliente 170,1.21391E+11,0.4822
201602,040036,Cliente 4,30514045167,0.1897
201607,040021,Cliente 110,83677379866,0.6296
201612,040044,Cliente 50,43078459971,0.4448
201607,040002,Cliente 60,78316185299,0.3507
201510,040002,Cliente 19,43826573452,0.2189
201505,040036,Cliente 70,1.32212E+11,0.8397
201509,040002,Cliente 19,47548187755,0.238
201605,040012,Cliente 5,31756743151,0.09
201602,040021,Cliente 190,98667166609,0.7596
201609,040014,Cliente 500,1.83911E+11,0.644
201511,040021,Cliente 500,1.09538E+11,0.8915
201507,040021,Cliente 60,58652727022,0.4958
201503,040036,Cliente 14,66444833200,0.4486
201512,040036,Cliente 4,29733631613,0.1963
201607,040002,Cliente 50,71675172809,0.321
201504,040012,Cliente 13,53925039699,0.1823
201511,040014,Cliente 10,36303029950,0.1492
201611,040072,Cliente 1000,1.58968E+11,0.7931
201604,040014,Cliente 14,42283421659,0.1744
201508,040072,Cliente 1,3734341670,0.0219
201608,040072,Cliente 140,1.02982E+11,0.5453
201605,040044,Cliente 130,53651202378,0.6363
201501,040012,Cliente 150,1.42153E+11,0.5019
201610,040072,Cliente 10,26995706252,0.1396
201611,040002,Cliente 190,1.35926E+11,0.5534
201502,040036,Cliente 70,1.15177E+11,0.8268
201602,040014,Cliente 30,66949152456,0.2648
201609,040072,Cliente 10,26742953370,0.1394
201604,040021,Cliente 16,30821122415,0.2349
201607,040014,Cliente 60,95380931559,0.3542
201612,040044,Cliente 30,34829931437,0.3596
201601,040014,Cliente 8,38479765334,0.1512
201502,040044,Cliente 80,31324630433,0.5219
201507,040044,Cliente 100,38266782437,0.5832
201503,040021,Cliente 130,78644777934,0.671
201501,040012,Cliente 5,25808185236,0.0911
201604,040014,Cliente 70,83126670448,0.3429
201510,040036,Cliente 1,8272114640,0.058
201507,040012,Cliente 1000,2.2852E+11,0.763
201512,040044,Cliente 110,47773864334,0.6131
201503,040072,Cliente 13,28010505942,0.165
201608,040002,Cliente 8,23802613001,0.1065
201611,040012,Cliente 140,1.81688E+11,0.4672
201502,040072,Cliente 17,32332535032,0.1901
201605,040012,Cliente 80,1.42218E+11,0.4033
201505,040072,Cliente 2,6856272059,0.0403
201512,040072,Cliente 180,1.08054E+11,0.5937
201501,040021,Cliente 17,35228524544,0.2811
201604,040036,Cliente 200,1.49334E+11,0.9573
201610,040014,Cliente 13,59456306159,0.2073
201505,040002,Cliente 20,40378008406,0.2176
201609,040021,Cliente 400,1.18251E+11,0.8693
201509,040012,Cliente 19,66503548502,0.2097
201502,040014,Cliente 140,95672609142,0.4418
201609,040072,Cliente 90,91327943931,0.4761
201611,040036,Cliente 500,1.84244E+11,0.9933
201609,040014,Cliente 19,69124693634,0.2421
201508,040021,Cliente 18,32214541674,0.2661
201606,040002,Cliente 11,25468541108,0.1198
201609,040036,Cliente 90,1.53974E+11,0.9013
201603,040021,Cliente 170,95598060391,0.7353
201604,040012,Cliente 60,1.19212E+11,0.3496
201605,040036,Cliente 110,1.44933E+11,0.914
201505,040014,Cliente 400,1.3917E+11,0.5961
201611,040002,Cliente 10,32328289286,0.1316
201611,040014,Cliente 500,1.82113E+11,0.6392
201512,040012,Cliente 18,60230638868,0.1866
201511,040072,Cliente 200,1.04789E+11,0.5965
201501,040036,Cliente 300,1.37475E+11,0.9742
201507,040036,Cliente 500,1.48803E+11,0.9892
201604,040036,Cliente 300,1.52377E+11,0.9768
201510,040072,Cliente 180,99858675778,0.5765
201605,040014,Cliente 3,17377049801,0.0716
201606,040002,Cliente 150,1.03775E+11,0.4881
201505,040036,Cliente 150,1.4774E+11,0.9383
201604,040012,Cliente 2,15511180810,0.0455
201504,040044,Cliente 40,25142403004,0.4024
201612,040021,Cliente 17,33352603665,0.2387
201605,040036,Cliente 1000,1.57317E+11,0.9921
201608,040002,Cliente 2,9668501571,0.0433
201507,040044,Cliente 11,14840576035,0.2262
201610,040002,Cliente 190,1.25608E+11,0.5416
201607,040072,Cliente 70,84883122625,0.4392
201602,040044,Cliente 13,22651385556,0.277
201512,040044,Cliente 120,49118188623,0.6303
201512,040044,Cliente 30,29308828546,0.3761
201603,040021,Cliente 18,34204199306,0.2631
201610,040021,Cliente 7,17415286800,0.1278
201604,040002,Cliente 160,99360299053,0.5014
201607,040044,Cliente 40,35024068811,0.3967
201610,040044,Cliente 50,41821053415,0.4493
201604,040072,Cliente 80,83392716571,0.4532
201510,040072,Cliente 100,83603902071,0.4826
201511,040012,Cliente 1000,2.44859E+11,0.7639
201510,040014,Cliente 10,32494837747,0.1366
201603,040036,Cliente 110,1.43031E+11,0.9102
201507,040072,Cliente 140,91562259044,0.5339
201606,040036,Cliente 400,1.57609E+11,0.9865
201502,040014,Cliente 4,17464825280,0.0807
201603,040044,Cliente 13,20900523525,0.2603
201608,040014,Cliente 80,1.15106E+11,0.415
201601,040044,Cliente 180,59667966730,0.7207
201601,040012,Cliente 400,2.19872E+11,0.6472
201511,040072,Cliente 15,34214981550,0.1948
201510,040002,Cliente 9,31024640485,0.155
201610,040036,Cliente 60,1.41538E+11,0.8412
201607,040036,Cliente 6,44447241143,0.2833
201605,040012,Cliente 8,44095237413,0.125
201602,040044,Cliente 70,42769714895,0.523
201604,040072,Cliente 4,14725302630,0.08
201604,040036,Cliente 190,1.48845E+11,0.9541
201612,040072,Cliente 14,34687960400,0.1673
201607,040012,Cliente 130,1.71832E+11,0.4669
201602,040014,Cliente 110,1.09204E+11,0.432
201511,040072,Cliente 1,3734341670,0.0213
201612,040014,Cliente 180,1.34855E+11,0.4894
201512,040012,Cliente 5,27632470123,0.0856
201511,040012,Cliente 180,1.6387E+11,0.5112
201605,040036,Cliente 4,32118231600,0.2025
201606,040014,Cliente 30,61180253566,0.2389
201605,040021,Cliente 40,55278012233,0.4057
201607,040044,Cliente 160,59349121056,0.6722
201504,040014,Cliente 180,1.13272E+11,0.4891
201506,040021,Cliente 130,80215853151,0.6773
201607,040002,Cliente 20,45233525622,0.2026
201608,040044,Cliente 4,12127061252,0.1321
201606,040002,Cliente 140,1.0117E+11,0.4759
201606,040014,Cliente 5,25273228240,0.0987
201602,040012,Cliente 7,40176563949,0.1178
201601,040012,Cliente 7,40278083038,0.1186
201501,040002,Cliente 9,20482679386,0.118
201603,040002,Cliente 40,53166750145,0.2669
201606,040021,Cliente 100,82878415071,0.6123
201503,040044,Cliente 180,40984526944,0.7
201504,040036,Cliente 170,1.47995E+11,0.9461
201507,040072,Cliente 11,28559469521,0.1665
201504,040072,Cliente 300,1.0671E+11,0.632
201511,040012,Cliente 200,1.69346E+11,0.5283
201610,040014,Cliente 11,54544980718,0.1902
201512,040036,Cliente 30,1.01523E+11,0.6704
201501,040021,Cliente 500,1.12478E+11,0.8974
201610,040012,Cliente 160,1.75602E+11,0.4827
201604,040036,Cliente 130,1.44686E+11,0.9275
201607,040044,Cliente 50,38369603394,0.4346
201605,040014,Cliente 12,38478181296,0.1585
201607,040014,Cliente 15,54789392757,0.2035
201605,040002,Cliente 20,38160896324,0.1856
201510,040044,Cliente 40,31808905182,0.425
201503,040044,Cliente 19,15389059321,0.2628
201604,040014,Cliente 12,39494524768,0.1629
201605,040036,Cliente 100,1.4317E+11,0.9028
201605,040072,Cliente 15,38578877943,0.2065
201509,040012,Cliente 40,94151968983,0.2969
201501,040021,Cliente 4,14390699100,0.1148
201612,040012,Cliente 130,1.78123E+11,0.4566
201512,040036,Cliente 10,57566676047,0.3801
201601,040002,Cliente 10,38587411854,0.1781
201510,040002,Cliente 4,20011791087,0.1
201506,040036,Cliente 110,1.37549E+11,0.905
201609,040021,Cliente 6,15386327094,0.1131
201603,040044,Cliente 12,20150141306,0.2509
201602,040002,Cliente 130,1.05648E+11,0.4965
201509,040014,Cliente 50,71893883000,0.298
201509,040012,Cliente 170,1.63502E+11,0.5156
201508,040072,Cliente 5,15292238155,0.0895
201612,040021,Cliente 5,14075450600,0.1008
201602,040002,Cliente 13,42181797612,0.1983
201611,040036,Cliente 1,10267792337,0.0554
201610,040036,Cliente 6,48761112459,0.2898
201511,040021,Cliente 8,19544582741,0.1591
201503,040044,Cliente 8,9975137444,0.1704
201509,040012,Cliente 160,1.60396E+11,0.5058
201611,040014,Cliente 180,1.44055E+11,0.5056
201609,040012,Cliente 7,37641926361,0.101
201508,040072,Cliente 30,50015393414,0.2928
201506,040044,Cliente 15,16654006615,0.2597
201503,040036,Cliente 300,1.44668E+11,0.9766
201608,040036,Cliente 70,1.34899E+11,0.8576
201612,040021,Cliente 1,3605334866,0.0258
201509,040044,Cliente 70,39605922889,0.5257
