cve_periodo,cve_institucion,cve_tipo_moneda,cve_TEC,tasa,MDMC,plazo
201612,040012,0,4,7.7382,32042294081,11.1452
201612,040014,1,1,5.9352,151984215,3.8803
201612,040012,1,3,4.2746,374096138,3.1891
201612,040021,0,2,11.8423,1031819385,45.802
201612,040014,0,2,10.6974,2893489134,29.0006
201612,040021,1,1,,1224421,24
201612,040044,1,4,3.1962,1395514538,48.8558
201512,040012,1,1,4.3774,185884435,4.4693
201512,040012,0,2,7.2421,2682548513,13.5369
201512,040002,0,1,10.326,784455807,32.9124
201612,040044,0,2,9.1386,600437754,37.9128
201612,040044,1,1,4.8265,7058377,40.9106
201612,040072,0,2,11.788,3376743985,27.393
201612,040072,1,1,5.5786,4536268,5.6364
201512,040014,0,2,8.7897,2422628987,28.3425
201512,040014,1,1,5.3405,272634147,3.955
201512,040012,1,3,3.8112,318742554,3.5419
201512,040012,0,4,5.2972,26460877837,16.8735
201612,040036,0,1,10.0471,54125000,27.1582
201612,5,0,4,8.1123,1.49282E+11,29.7479
201612,5,1,3,4.4703,1052714543,6.663
201512,040014,0,4,5.037,22668155937,11.5518
201612,040036,1,4,5.154,971463183,17.846
201512,040014,1,3,4.3929,500903855,4.2624
201612,040072,1,5,4.24,20619400,1
201612,040044,0,4,7.68,9760334762,47.3785
201612,040044,1,3,4.2719,29388944,22.6736
201512,040012,1,5,4.77,447795051,119
201612,040036,0,5,9.08,21855622,200
201612,040036,0,2,9.8395,152066120,32.207
201612,5,0,2,10.6855,21982162685,22.9465
201612,5,0,5,8.9614,202478985,58.3527
201612,5,1,4,3.4487,47521351139,20.0763
201612,5,1,1,4.6548,773781607,10.9409
201612,040021,1,4,4.0159,8290231692,24
201612,040072,0,4,8.4441,16320249894,85.8932
201612,040072,1,3,3.8373,58301198,2.5081
