cve_periodo,cve_institucion,cve_estado,cartera_total,imor,creditos,acreditados
201612,040072,8,6070677322,1.1181,2209,1296
201512,040012,16,6570781472,0.1872,2623,1626
201512,040014,16,2906677584,0.4765,1528,1043
201612,040012,28,4682083071,1.548,2571,735
201612,040014,20,1440008059,0.3495,605,417
201612,040014,31,2721120559,0.8584,897,622
201612,040014,88,1264481228,0.044,61,48
201612,040021,6,641666868,0.8348,1821,197
201612,040036,11,198386836,8.4636,611,500
201612,040072,88,22630445,0,6,6
201512,040014,29,380998625,1.9433,210,164
201512,040036,14,838540103,1.7207,473,334
201512,040036,18,7051020,6.0013,32,27
201512,040044,1,1596159103,0,50,27
201512,040072,5,3556414197,3.9418,1791,1149
201612,040002,11,8755814736,0.1255,2597,2048
201612,040012,8,8643791437,0.9118,20545,1318
201612,040012,12,922416882,24.8484,872,564
201612,040021,5,3080359811,3.4875,2295,725
201612,040036,7,14069756,15.4967,171,143
201612,040036,15,9720314037,4.0133,1027,708
201612,040036,22,195288849,8.61,393,309
201612,040044,12,240270929,34.1249,13,9
201612,040072,2,4145803918,2.7995,2140,1259
201612,040072,19,39678380198,0.7106,8846,5631
201612,040072,23,6719122583,0.4702,757,597
201612,040002,3,361261058,1.0005,717,596
201612,040002,5,3257851883,0.3248,1770,1057
201612,040002,24,1774494265,0.0896,915,747
201612,040002,30,6941987608,0.4904,2721,2124
201612,040014,6,1612111170,0.2786,778,560
201612,040014,30,8027697154,2.783,2715,1866
201612,040021,30,4431123610,0.8802,2910,671
201612,040036,10,112169292,1.8965,122,104
201612,040072,9,71755875936,3.2039,11423,7873
201512,040002,30,6412622929,0.859,2516,1984
201512,040002,31,2700837204,0.0708,866,719
201512,040012,1,2080250224,3.8446,1402,509
201512,040012,25,9185672173,1.7844,15217,888
201512,040021,2,2312122819,0.5825,1913,570
201512,040021,13,980920126,1.4933,638,240
201512,040036,4,1465805038,0.0245,27,14
201512,040036,11,216583826,28.4087,281,203
201512,040036,22,175337595,6.8696,201,126
201512,040002,25,6351471670,0.1973,1847,1481
201512,040014,10,1359413862,0.3448,525,351
201512,040014,11,5493811963,3.2285,2245,1585
201512,040036,19,1722994932,6.6846,431,225
201512,040036,25,5368245375,8.9005,161,123
201512,040036,29,18894490,35.5917,37,32
201512,040044,5,2331041114,1.1271,81,45
201512,040072,16,4056101581,1.0888,968,624
201612,040012,11,8195941441,1.8817,15787,1920
201612,040012,19,60519789774,1.2817,40694,2381
201612,040012,24,3152358689,0.4224,2077,675
201612,040014,9,1.13059E+11,1.3097,19052,12652
201612,040014,10,1181828872,1.0493,554,380
201612,040044,18,239285166,0,8,6
201612,040044,23,926606435,0.7067,63,38
201612,040044,99,96847198816,2.3455,2740,1837
201612,040072,26,3314927043,1.8694,1443,873
201512,040002,2,4054260703,0.5081,1701,1381
201512,040002,26,5208990900,0.2281,1571,1282
201512,040014,88,1198535032,0.1182,21,11
201512,040021,24,704060444,0.5372,2710,387
201512,040044,16,407359967,0,14,10
201512,040072,18,352135182,3.6218,487,284
201612,040021,10,288563069,3.6517,720,310
201612,040021,21,3490222349,0.9562,2621,852
201612,040044,8,2047137256,0.6372,139,93
201612,040072,5,3725562370,3.5472,2592,1667
201612,040072,10,1463078636,1.1954,904,542
201612,040072,29,126950796,11.7138,182,152
201612,040012,14,23014069217,1.1842,14451,4100
201612,040021,27,339988414,7.6177,886,411
201612,040036,8,9686595220,2.4774,494,363
201612,040036,18,20223909,4.4012,95,84
201512,040021,20,203476498,2.1177,1600,456
201512,040036,6,12218036,17.3598,52,39
201512,040044,11,2624434509,4.0881,80,55
201512,040044,14,2717047226,2.0621,140,89
201512,040072,22,1273488062,3.8621,772,574
201512,040072,99,1.81997E+11,4.2226,50304,33396
201512,040036,30,994773276,1.3916,274,190
201512,040044,26,1959632591,2.3941,85,51
201512,040072,6,375920377,5.2934,311,243
201512,040002,22,2134235012,1.6254,1420,1146
201512,040012,18,1278779273,1.4468,632,355
