cve_periodo,cve_institucion,cve_estado,cve_TEC,dat_id_credito_met_cnbv,dat_rfc,dat_responsabilidad_total
201612,040014,13,3,15,7,74017303
201612,040021,13,3,2,2,2590197
201612,040002,30,4,202,52,4486032149
201612,040044,23,2,32,18,110624553
201612,040014,20,2,197,128,170636347
201612,040044,21,4,28,16,2605276991
201612,040044,24,1,8,6,30275499
201612,040002,8,3,15,12,135300139
201612,040072,11,2,1093,743,925006747
201612,040014,15,1,3225,2493,2446347884
201512,040021,12,4,17,2,89959166
201612,5,1,3,345,61,1054548057
201612,040012,15,4,9460,175,17173463890
201612,5,3,1,3119,2003,1047963544
201612,040012,18,4,21,8,1203251165
201612,040014,14,3,307,119,939865760
201612,040014,16,4,133,34,2905317341
201512,040036,20,2,38,25,5817422
201512,040014,8,3,107,38,406068935
201512,040036,18,4,1,1,74170
201612,040014,18,2,123,78,159805662
201612,040002,13,1,226,196,165020325
201612,040072,16,2,558,308,542195578
201612,040072,17,1,192,167,52710376
201612,040036,1,4,3,3,532559
201612,040044,3,1,2,2,187972
201612,040002,15,1,1371,1114,1180699868
201512,040044,10,1,2,1,36805222
201512,040036,14,1,223,166,58026669
201612,040036,27,4,3,2,428606184
201612,040072,14,1,2569,1903,1070257022
201512,040036,11,4,33,13,66447375
201612,040021,19,2,1609,568,517471168
201612,040002,12,4,5,1,5383999
201612,5,25,1,9376,5603,4521858663
201612,5,22,4,7750,125,13546825463
201612,5,23,3,135,45,658175435
201512,040072,3,4,27,9,1097858810
201512,040021,21,1,2197,705,142075442
201612,040014,17,2,281,158,389007847
201612,040002,999,2,5,5,23677233
201612,040002,7,1,365,287,217462562
201612,040002,4,4,5,4,49221994
201612,040036,28,1,237,211,17083168
201612,040012,13,4,173,16,1737703031
201612,040002,10,2,378,316,300579554
201612,040044,25,2,25,17,157736621
201612,040014,13,2,219,142,265144303
201612,040044,19,2,38,29,362262375
201612,040014,11,4,242,54,3877640615
201612,040044,15,2,60,46,357842700
201512,040014,19,4,764,175,24958243178
201512,040002,9,1,3736,3074,3381238281
201612,040044,16,1,7,6,4450582
201612,040072,30,4,83,27,3578718855
201512,040021,26,4,574,13,1365697217
201512,040012,23,2,302,90,227012790
201512,040021,27,3,21,8,131003998
201612,040044,13,4,3,1,43250522
201612,040012,3,4,381,10,582786033
201512,040072,17,1,117,106,52523734
201512,040072,13,2,127,88,194067494
201612,040002,24,2,693,562,487320126
201512,040036,4,1,8,4,837554
201612,040036,9,3,101,48,300939303
201512,040072,16,2,457,274,587281759
201612,040044,11,3,16,9,147670217
201512,040002,8,5,1,1,325036243
201512,040002,14,2,3125,2486,2492248742
201612,5,22,5,26,2,1124243186
201612,040002,30,2,1865,1545,1286941447
201512,040036,21,4,14,10,2185904866
201512,040072,9,3,535,269,1337094743
201512,5,9,2,44771,15950,44841913380
201512,040021,20,4,47,2,91127741
201612,040036,11,4,26,14,20484470
201612,040072,27,4,48,7,830029679
201512,040002,13,3,6,5,14277826
201512,040072,11,1,802,671,516853602
201612,040021,8,3,30,8,96274218
201512,040021,21,3,50,7,80278235
201612,040002,31,1,219,173,177971669
201612,040021,7,4,4,3,60321361
201612,040014,9,4,2863,503,88265938858
201512,040014,10,2,191,114,317922161
201512,040044,15,4,91,51,4213106302
201512,040036,19,4,213,16,1440377697
201512,040021,9,4,4994,200,49720418485
201512,040021,11,2,847,195,388627084
201512,040014,999,3,4,2,2478055
201512,040012,7,1,2712,2073,803480733
201612,040072,4,3,16,8,41868927
201512,040012,13,1,4067,3065,1153454493
201512,040044,32,2,6,4,13815866
201512,040044,31,3,12,5,110244881
201612,5,15,2,17000,7393,14947412486
201512,040021,28,3,59,16,115138981
201512,040021,21,4,719,27,4462661881
201512,040021,30,1,1796,610,105999384
201512,040036,6,3,4,3,705865
201612,040021,32,1,378,106,18816226
201512,040044,30,4,51,24,2887981856
201512,040036,4,2,11,7,1206617
201512,040036,5,4,7,4,870737507
201612,040021,31,2,587,242,156732424
201512,040002,11,4,173,58,5243823990
201512,040036,2,4,3,2,21971904
201512,040002,13,2,654,532,355672284
201612,040036,23,3,2,2,16752850
201612,040036,15,5,1,1,5772690501
201512,040036,25,1,77,63,16490347
201512,040002,19,2,2015,1672,1774319627
201512,040002,17,4,21,14,608912673
201612,040002,23,4,16,11,1699908912
201612,5,12,1,4964,3173,1648884673
201612,040036,5,2,55,46,10092040
201612,040012,1,1,2613,1849,854781022
