cve_periodo,cve_institucion,cve_tipo_moneda,cve_destino_credito,cve_TEC,tasa,responsabilidad,plazo
201512,040072,0,26,4,6.2218,1673979728,73.7877
201612,040072,0,32,4,8.0429,982579982,50.7774
201612,040002,0,27,2,11.5984,34176574871,23.2846
201612,040002,1,27,1,4.19,218386967,14.136
201612,040002,1,27,4,2.6561,59108833363,34.5672
201612,040002,0,30,2,8.4595,244598972,36.1473
201612,040002,1,30,1,5.92,802641,15
201512,040044,0,26,4,6.3866,1804570116,39.5758
201512,040044,1,27,2,3.8137,231519915,30.0382
201512,040044,0,25,5,6.5694,923909847,2
201612,040002,0,28,1,8.2569,20285661,30.7479
201512,040044,0,22,5,7.9,47197080,30
201512,040044,0,25,2,7.1692,103164766,7.7824
201512,040044,1,22,4,3.189,2516547864,37.9458
201612,040002,1,22,2,4.7721,53746569,31.578
201612,040002,0,22,3,8.1422,224407328,36.9857
201512,040021,1,27,4,3.44,28518230167,22.8841
201512,040021,1,26,5,3.69,502163228,19
201612,040044,1,21,4,4.0289,3097557549,24.8452
201612,040044,0,22,4,7.4266,25349658863,50.8733
201612,040012,0,22,3,10.0018,14843366,40.2338
201612,040012,0,21,4,8.17,113176559,36
201612,040036,0,22,3,13.4621,3334736,30
201512,040044,1,21,4,3.5758,1875945980,33.8397
201512,040044,0,25,1,7.4294,9457204,26.0774
201512,040044,0,21,5,6.6331,355227144,42.3357
201512,040044,0,24,2,0,0,0
201512,040044,0,29,4,6.1704,20703099,
201512,040002,1,22,3,4.3975,115116786,32.2586
201512,040002,0,22,4,6.3711,2436042311,42.5944
201512,040072,0,21,1,10.8569,187024878,38.3468
201512,040072,1,27,4,3.9379,22509021186,49.3913
201612,040044,0,28,1,10.0988,12945276,
201612,040044,1,27,1,4.8961,126396477,44.9973
201612,040044,0,26,3,8.5674,13029152,28.2197
201612,040021,0,22,4,8.5256,2322027918,24.2311
201512,040002,0,24,1,7.8204,8623068,26.8777
201512,040014,1,29,2,3.4755,33034421,5.1106
201612,040012,0,25,2,9.0206,14871144,
201612,040012,1,22,4,2.6753,239762618,75.3827
201612,040012,0,28,2,9.4693,417897806,3.0601
201612,040014,0,27,1,12.6575,40896126793,28.7804
201612,040021,0,27,4,7.829,72053324104,21.6376
201512,040002,0,0,4,11.25,5598220,152
201512,040021,0,0,4,6.1184,6955082401,64.3239
201612,040036,0,27,2,12.536,1667958688,57.5242
201612,040036,1,27,1,5.9198,11335773,95.227
201512,040021,1,27,5,4.175,467122960,12.0015
201612,040044,1,27,3,4.2498,263196176,21.6434
201612,040044,0,29,2,6.89,33873,3
201612,040014,0,0,4,8.5218,6325934372,126.3097
201612,040014,1,0,3,4.76,4854773,5
201612,040072,0,25,2,9.4974,358904798,23.481
201612,040072,1,22,4,4.6958,3396588688,73.6422
201612,040012,1,0,5,5.14,537669375,107
201612,040002,0,28,3,9.6622,113959910,14.9295
201612,040002,1,27,3,3.6654,639584413,13.8065
201512,040072,2,27,2,10,74095,11
201512,040072,0,30,1,11.99,310734,41.9609
201512,040021,0,0,5,5.6191,1471120379,27.6451
201512,040072,0,27,1,10.9349,10089709605,22.8592
201512,040072,1,26,4,4.015,197264287,88
201512,040044,0,26,1,6.9378,58235956,31.9117
201512,040072,1,22,2,5.3623,84831500,40.9464
201512,040072,0,21,4,5.1998,2800771531,73.5974
201512,040072,1,21,3,3.88,14015887,35
201612,040012,0,24,2,0,0,
201612,040021,1,27,2,5.0032,324338047,16.6151
201612,040021,0,25,5,6.8943,394745159,
201612,040021,0,24,1,9.34,5360512,28
201612,040021,1,27,3,4.3256,397615260,17.9906
201612,040021,0,26,5,8.35,52255096,46
201612,040044,0,28,3,9.2847,55521064,
201512,040021,0,32,1,18,71707,0
201612,040044,0,27,4,7.6315,27136679531,35.939
201612,040044,1,26,4,3.934,447735957,27.4153
201512,040072,0,25,2,7.077,363155590,26.139
201612,040012,1,27,2,5.0045,1377713620,24.1402
201612,040021,0,24,4,7.68,43801547,26.0664
201612,040012,1,28,1,5.2776,10549820,1
201612,040021,1,22,2,8.4377,35134956,20.9479
201612,040021,0,22,3,9.6313,68935873,17.4285
201612,040036,0,27,3,10.7604,731346798,51.1636
201612,040036,1,27,2,6.8708,149930856,59.0975
201612,040014,0,22,1,10.3678,2344122856,3.2126
201612,040021,0,22,1,9.062,41803501,9.6057
201612,040012,0,0,2,8.3592,38485850,81.1164
201612,040072,1,22,3,4.6302,45966997,27.6432
201612,040072,0,22,4,8.8603,2932158466,80.7121
