cve_institucion,cve_periodo,id,cve_tipo_moneda,monto_dispuesto,creditos
040002,201512,2,1,46233132,65
040036,201612,10,0,174634195,19
040036,201612,13,0,139897807,6
040021,201612,11,0,1125140,146
040044,201612,7,0,94271071,4
040014,201512,10,0,2483449264,1749
040002,201512,12,0,275947179,31
040012,201612,3,1,1986964558,1457
040012,201612,11,1,190881175,5
040002,201512,4,0,90927481,14
040072,201612,6,1,79040120,7
040012,201612,12,0,1348690739,429
040014,201512,2,1,235674626,131
040072,201512,3,0,2259559262,218
040036,201612,2,1,607121,1
040072,201612,1,1,2552122297,43
040072,201612,14,0,4744333838,13
040012,201512,5,0,1691978893,2749
040021,201612,6,0,195328,4
040021,201512,9,0,11656236789,33976
040072,201512,13,1,419087777,48
040002,201612,9,2,254731,1
040021,201612,9,0,15162646236,26949
040044,201612,8,0,21765935,2
040012,201612,3,0,4127884293,22975
040012,201512,11,1,916768405,3
040021,201512,12,1,13406317,10
040044,201612,14,0,6582565884,560
040012,201612,1,1,4667411948,540
040044,201612,13,0,111691103,5
040036,201512,11,0,62744224,9
040014,201512,13,0,465171167,20
040036,201512,14,1,430975083,14
040002,201612,10,1,1581264138,34
040036,201612,7,1,152034817,10
040002,201612,4,0,203952145,15
040036,201512,14,0,1137622986,48
040002,201512,14,1,401687127,8
040036,201512,10,0,355524022,12
040036,201512,7,1,662287822,47
040002,201612,9,0,2244624187,119
040036,201512,7,0,3650468123,99
040021,201612,2,0,1036421,1
040012,201512,13,1,990061794,10
040072,201512,10,0,1625301474,1352
040012,201512,1,1,5141340313,576
040021,201512,12,0,541303,48
040014,201612,4,0,628810300,74
040072,201612,5,0,408107478,100
040036,201512,3,1,15997997,17
040002,201612,7,1,380914182,62
040002,201512,9,2,151160,1
040014,201512,11,0,195140444,25
040012,201612,10,0,3291047707,868
040014,201612,6,0,1794319345,378
040002,201512,8,1,1847326329,72
040012,201512,14,0,321157115,9
040036,201612,3,0,368200071,10
040014,201512,3,0,3909156348,261
040072,201512,2,1,191477358,20
040012,201612,8,0,69879092,118
040044,201512,13,1,20826897,9
040036,201512,6,1,170689462,11
040044,201612,8,1,306505,1
040014,201512,1,1,862066997,48
040036,201512,12,0,69216414,19
040044,201612,12,1,238871550,46
040036,201512,10,1,472425222,35
040014,201612,7,1,139180950,4
040012,201612,7,0,1586838229,311
040002,201612,11,0,1739390814,325
040012,201512,6,0,7703508381,8615
040036,201612,6,0,17383000,16
040014,201612,3,0,4639540955,304
040072,201612,6,0,499625759,97
040036,201512,3,0,2272308641,6
040072,201612,2,1,2110987062,17
040021,201612,8,0,135779,10
040014,201512,1,0,8427886662,50
040002,201612,12,1,426033731,43
040012,201612,10,1,139214038,9
040012,201512,8,0,39235500,78
040014,201512,7,1,91466806,111
040036,201612,8,0,666967500,8
040072,201612,13,0,3219646711,7993
040012,201612,5,1,455223999,126
040021,201612,10,0,212152,31
040044,201612,10,1,31493,1
040021,201512,13,1,28748764,4
040072,201612,10,1,85948638,8
040014,201612,8,0,85737237,13
040044,201512,8,1,176719,1
040012,201512,12,0,4240062174,410
040021,201512,13,0,408241451,3458
040044,201512,11,1,4559527,9
040002,201512,5,0,115299757,14
040072,201512,6,0,357141053,71
040044,201612,12,0,968026439,39
040002,201612,14,1,5465504,4
040002,201512,9,1,1072208769,18
040012,201612,4,0,1782590681,7380
040072,201512,8,0,367897712,1044
040072,201512,4,1,111726789,8
040072,201512,11,1,2165022,2
040036,201512,13,1,4494925850,40
040012,201612,2,0,2978174463,23638
040012,201512,2,0,4327276244,25455
040014,201512,13,1,801057537,99
040014,201512,14,1,2159948373,211
040012,201512,6,1,2754035201,350
040012,201612,13,1,659374990,6
040002,201512,12,2,275,1
040014,201512,4,1,191026113,228
040072,201612,3,1,399765103,29
040014,201612,4,1,126436621,17
040072,201612,11,0,266054837,434
040014,201512,11,1,149999333,39
040002,201612,5,1,10439392,18
040012,201612,12,1,845316290,6
040044,201512,10,1,458911,3
040044,201512,14,0,5510915201,440
040012,201512,10,1,94867851,2
040036,201612,6,1,199805634,5
040014,201512,6,1,1858991161,672
040014,201612,5,0,955017426,144
040021,201612,3,0,5004,1
040014,201612,6,1,909804816,108
040002,201612,2,1,62165078,63
040012,201512,9,0,672612743,114
040072,201512,1,0,1914461339,163
040002,201612,9,1,1364086784,26
040002,201612,13,0,900797276,31
040002,201512,6,1,35540921,22
040002,201512,10,0,3767823269,1636
040021,201512,5,1,177393,3
040014,201512,8,0,89967811,13
