cve_institucion,cve_periodo,id,cve_tipo_moneda,tasa
040021,201612,2,0,9.17
040002,201512,11,1,2.559301
040072,201512,5,0,6.534801
040002,201512,4,1,3.394247
040021,201612,6,0,8.004898
040021,201512,9,0,6.282579
040072,201512,13,1,4.782504
040036,201612,1,0,9.616264
040036,201612,9,1,6.119842
040072,201612,13,0,11.648919
040014,201612,3,0,7.556915
040072,201612,6,0,8.970405
040036,201512,3,0,4.380027
040002,201512,8,0,4.624792
040014,201612,8,0,10.835087
040014,201512,14,1,3.420593
040002,201612,9,0,7.3897
040036,201512,7,0,5.523415
040014,201612,4,1,5.177745
040044,201512,8,1,1.82
040036,201512,10,1,4.310086
040072,201612,3,1,3.883439
040036,201512,6,0,7.257306
040002,201512,13,0,4.929438
040014,201512,2,1,4.33451
040072,201512,3,0,6.22875
040072,201612,11,0,9.288719
040002,201612,6,0,8.617414
040012,201612,14,0,8.172377
040012,201512,3,1,3.39487
040012,201512,7,0,6.203183
040044,201512,13,1,2.928385
040036,201512,6,1,4.130674
040012,201512,10,1,3.328462
040021,201512,13,0,16.043891
040014,201512,11,1,3.096123
040012,201612,4,1,3.18402
040014,201612,2,0,7.629404
040036,201612,3,0,8.031534
040014,201512,3,0,4.878795
040014,201612,5,0,8.869209
040021,201612,3,0,24
040044,201512,7,0,4.174871
040044,201612,8,0,9.552439
040014,201512,13,0,6.423585
040012,201612,10,1,3.423517
040021,201612,13,0,14.951582
040044,201512,11,1,2.212631
040002,201512,12,2,10
040072,201512,2,1,2.869574
040036,201512,8,1,5.096042
040012,201512,3,0,6.11046
040036,201512,10,0,8.644251
040012,201512,10,0,8.065236
040014,201512,4,1,3.969878
040036,201512,9,0,6.175733
040012,201612,2,0,7.975831
040012,201512,2,0,5.131344
040012,201612,5,1,4.257014
040021,201612,10,0,32.73548
040012,201612,12,1,3.98264
040072,201612,14,1,4.450875
040044,201612,7,0,8.591485
040002,201512,13,1,3.303508
040014,201512,13,1,3.541656
040014,201612,10,0,11.970376
040014,201512,8,0,7.212613
040002,201612,7,1,2.128362
040044,201612,8,1,3.43
