cve_institucion,cve_periodo,cve_concepto,dato
040002,201501,1,54226
040002,201501,2,42450
040002,201501,3,6.748
040002,201501,4,2.2315
040002,201501,5,9.9075
040002,201501,6,28
040002,201501,7,1.73623E+11
040002,201502,1,54147
040002,201502,2,42480
040002,201502,3,6.7312
040002,201502,4,2.2998
040002,201502,5,9.9037
040002,201502,6,27
040002,201502,7,1.71781E+11
040002,201503,1,54494
040002,201503,2,42786
040002,201503,3,6.6162
040002,201503,4,3.1292
040002,201503,5,9.9056
040002,201503,6,26
040002,201503,7,1.8145E+11
040002,201504,1,54813
040002,201504,2,43035
040002,201504,3,6.6469
040002,201504,4,2.1331
040002,201504,5,9.9058
040002,201504,6,25
040002,201504,7,1.79423E+11
040002,201505,1,55137
040002,201505,2,43302
040002,201505,3,6.5795
040002,201505,4,2.1031
040002,201505,5,9.905
040002,201505,6,25
040002,201505,7,1.85547E+11
040002,201506,1,55019
040002,201506,2,43334
040002,201506,3,6.556
040002,201506,4,2.115
040002,201506,5,9.9043
040002,201506,6,25
040002,201506,7,1.83411E+11
040002,201507,1,55391
040002,201507,2,43664
040002,201507,3,6.601
040002,201507,4,2.0672
040002,201507,5,9.9029
040002,201507,6,25
040002,201507,7,1.85409E+11
040002,201508,1,55676
040002,201508,2,43930
040002,201508,3,6.5346
040002,201508,4,2.0661
040002,201508,5,7.376
040002,201508,6,25
040002,201508,7,1.91563E+11
040002,201509,1,56748
040002,201509,2,44623
040002,201509,3,6.4765
040002,201509,4,2.0184
040002,201509,5,9.9056
040002,201509,6,24
040002,201509,7,1.99778E+11
040002,201510,1,57599
040002,201510,2,45335
040002,201510,3,6.6818
040002,201510,4,1.8826
040002,201510,5,9.9001
040002,201510,6,25
040002,201510,7,2.00193E+11
040002,201511,1,58005
040002,201511,2,45673
040002,201511,3,6.6793
040002,201511,4,1.841
040002,201511,5,7.3472
040002,201511,6,25
040002,201511,7,2.05663E+11
040002,201512,1,57844
040002,201512,2,45697
040002,201512,3,6.7592
040002,201512,4,2.0554
040002,201512,5,9.9059
040002,201512,6,27
040002,201512,7,2.11931E+11
040002,201601,1,58411
040002,201601,2,46036
040002,201601,3,6.6999
040002,201601,4,2.0824
040002,201601,5,9.9051
040002,201601,6,27
040002,201601,7,2.16713E+11
040002,201602,1,58330
040002,201602,2,46063
040002,201602,3,7.0276
040002,201602,4,2.1361
040002,201602,5,9.8692
040002,201602,6,28
040002,201602,7,2.1277E+11
040002,201603,1,58999
040002,201603,2,46654
040002,201603,3,7.0946
040002,201603,4,2.6322
040002,201603,5,9.8899
040002,201603,6,29
040002,201603,7,1.99199E+11
040002,201604,1,59212
040002,201604,2,46908
040002,201604,3,7.1239
040002,201604,4,2.6457
040002,201604,5,9.8945
040002,201604,6,28
040002,201604,7,1.98153E+11
040002,201605,1,59818
040002,201605,2,47428
040002,201605,3,7.2664
040002,201605,4,2.6874
040002,201605,5,9.8932
040002,201605,6,28
040002,201605,7,2.05663E+11
040002,201606,1,60536
040002,201606,2,47994
040002,201606,3,7.1956
040002,201606,4,2.6651
040002,201606,5,9.901
040002,201606,6,28
040002,201606,7,2.12604E+11
040002,201607,1,61036
040002,201607,2,48370
040002,201607,3,7.4137
040002,201607,4,2.5677
040002,201607,5,9.9653
040002,201607,6,28
040002,201607,7,2.23314E+11
040002,201608,1,61402
040002,201608,2,48818
040002,201608,3,7.4873
040002,201608,4,2.5882
040002,201608,5,9.969
040002,201608,6,28
040002,201608,7,2.23398E+11
040002,201609,1,62040
040002,201609,2,49279
040002,201609,3,7.5781
040002,201609,4,2.6123
040002,201609,5,9.9789
040002,201609,6,29
040002,201609,7,2.28897E+11
040002,201610,1,62318
040002,201610,2,49468
040002,201610,3,7.7941
040002,201610,4,2.7026
040002,201610,5,10
040002,201610,6,30
040002,201610,7,2.31906E+11
040002,201611,1,62807
040002,201611,2,49747
040002,201611,3,8.017
040002,201611,4,2.6944
040002,201611,5,10
040002,201611,6,30
040002,201611,7,2.45614E+11
040002,201612,1,62842
040002,201612,2,49781
040002,201612,3,8.4155
040002,201612,4,2.7852
040002,201612,5,10
040002,201612,6,30
040002,201612,7,2.43785E+11
040012,201501,1,214627
040012,201501,2,47139
040012,201501,3,6.7863
040012,201501,4,3.1105
040012,201501,6,39
040012,201501,7,2.83245E+11
040012,201502,1,215668
040012,201502,2,47167
040012,201502,3,6.7578
040012,201502,4,3.1051
040012,201502,6,39
040012,201502,7,2.82506E+11
040012,201503,1,219949
040012,201503,2,47181
040012,201503,3,6.6487
040012,201503,4,3.1453
040012,201503,6,39
040012,201503,7,2.89523E+11
040012,201504,1,225802
040012,201504,2,47226
040012,201504,3,6.6055
040012,201504,4,3.1282
040012,201504,6,39
040012,201504,7,2.95726E+11
040012,201505,1,232154
040012,201505,2,47358
040012,201505,3,6.6097
040012,201505,4,3.1543
040012,201505,6,39
040012,201505,7,2.99601E+11
040012,201506,1,234253
040012,201506,2,47704
040012,201506,3,6.8149
040012,201506,4,3.1633
040012,201506,6,41
040012,201506,7,2.93452E+11
040012,201507,1,227036
040012,201507,2,48227
040012,201507,3,6.832
040012,201507,4,3.1077
040012,201507,6,42
040012,201507,7,2.99489E+11
040012,201508,1,231491
040012,201508,2,48760
040012,201508,3,6.9187
040012,201508,4,3.054
040012,201508,6,42
040012,201508,7,3.072E+11
040012,201509,1,235719
040012,201509,2,48754
040012,201509,3,6.9408
040012,201509,4,3.0943
040012,201509,6,41
040012,201509,7,3.17083E+11
040012,201510,1,242227
040012,201510,2,48973
040012,201510,3,6.8617
040012,201510,4,2.9987
040012,201510,6,41
040012,201510,7,3.20275E+11
040012,201511,1,244185
040012,201511,2,48714
040012,201511,3,6.859
040012,201511,4,3.015
040012,201511,6,42
040012,201511,7,3.2054E+11
040012,201512,1,247405
040012,201512,2,48481
040012,201512,3,6.9
040012,201512,4,3.1569
040012,201512,6,43
040012,201512,7,3.22851E+11
040012,201601,1,238632
040012,201601,2,49064
040012,201601,3,6.9746
040012,201601,4,3.2062
040012,201601,6,44
040012,201601,7,3.39713E+11
